시도,시군구,행정구역명,행정구역코드,신호등,횡단보도,과속방지턱,노인보호구역,공공 체육시설,독거노인,저소득 독거노인,CCTV,면적,전통시장,도시공원,노인 교통사고,총 노인인구수,남자 노인인구수,여자 노인인구수,총생활인구수
서울특별시,송파구,가락1동,1124066,130 ,62 ,2 ,0 ,0 ,33 ,1 ,0 ,1 ,0 ,2 ,20 ,27207 ,13225 ,13982 ,4265 
서울특별시,송파구,가락2동,1124067,119 ,63 ,91 ,0 ,0 ,537 ,26 ,0 ,1 ,0 ,8 ,20 ,33915 ,16623 ,17292 ,4950 
서울특별시,송파구,가락본동,1124065,139 ,112 ,133 ,0 ,0 ,704 ,31 ,0 ,1 ,0 ,9 ,24 ,27910 ,13846 ,14064 ,4592 
서울특별시,구로구,가리봉동,1117070,39 ,19 ,35 ,0 ,0 ,865 ,29 ,0 ,0 ,2 ,0 ,10 ,15518 ,8946 ,6572 ,1348 
서울특별시,금천구,가산동,1118051,408 ,244 ,97 ,0 ,0 ,710 ,76 ,12 ,3 ,0 ,3 ,20 ,24497 ,13739 ,10758 ,4184 
서울특별시,강서구,가양1동,1116064,157 ,90 ,0 ,1 ,6 ,534 ,32 ,0 ,5 ,0 ,9 ,31 ,34199 ,16048 ,18151 ,3944 
서울특별시,강서구,가양2동,1116065,116 ,32 ,0 ,0 ,0 ,1348 ,88 ,0 ,1 ,0 ,4 ,7 ,15301 ,7284 ,8017 ,3776 
서울특별시,강서구,가양3동,1116066,111 ,59 ,0 ,0 ,4 ,1116 ,59 ,0 ,1 ,0 ,4 ,8 ,16277 ,7652 ,8625 ,2218 
서울특별시,종로구,가회동,1101060,22 ,28 ,0 ,0 ,0 ,216 ,13 ,4 ,1 ,0 ,1 ,6 ,4487 ,2090 ,2397 ,1104 
서울특별시,은평구,갈현1동,1112055,68 ,65 ,65 ,1 ,0 ,1167 ,51 ,6 ,1 ,0 ,4 ,11 ,24768 ,12080 ,12688 ,5005 
서울특별시,은평구,갈현2동,1112056,95 ,73 ,130 ,0 ,0 ,1051 ,61 ,6 ,1 ,1 ,4 ,14 ,30235 ,14392 ,15843 ,4225 
서울특별시,강동구,강일동,1125051,208 ,171 ,20 ,0 ,1 ,627 ,91 ,3 ,3 ,0 ,8 ,13 ,32377 ,15662 ,16715 ,5242 
서울특별시,구로구,개봉1동,1117072,59 ,79 ,59 ,0 ,0 ,1376 ,74 ,0 ,1 ,0 ,3 ,13 ,34177 ,17149 ,17028 ,5156 
서울특별시,구로구,개봉2동,1117064,26 ,45 ,51 ,0 ,0 ,954 ,35 ,0 ,1 ,2 ,1 ,13 ,33428 ,16331 ,17097 ,5021 
서울특별시,구로구,개봉3동,1117065,22 ,45 ,103 ,0 ,2 ,809 ,41 ,0 ,1 ,0 ,4 ,12 ,22176 ,10857 ,11319 ,2696 
서울특별시,강남구,개포1동,1123068,74 ,34 ,0 ,0 ,0 ,331 ,12 ,0 ,1 ,0 ,0 ,13 ,7028 ,3397 ,3631 ,1777 
서울특별시,강남구,개포2동,1123080,89 ,84 ,0 ,0 ,0 ,380 ,6 ,0 ,3 ,0 ,12 ,13 ,19915 ,9617 ,10298 ,3651 
서울특별시,강남구,개포4동,1123071,74 ,71 ,0 ,0 ,3 ,412 ,16 ,0 ,1 ,0 ,1 ,13 ,18485 ,9075 ,9410 ,2313 
서울특별시,송파구,거여1동,1124053,53 ,34 ,100 ,0 ,5 ,487 ,31 ,0 ,1 ,0 ,7 ,10 ,13273 ,6768 ,6505 ,2189 
서울특별시,송파구,거여2동,1124054,56 ,32 ,11 ,0 ,0 ,956 ,49 ,0 ,1 ,0 ,6 ,6 ,17047 ,8375 ,8672 ,2539 
서울특별시,강동구,고덕1동,1125055,74 ,71 ,54 ,1 ,3 ,372 ,35 ,0 ,2 ,0 ,5 ,5 ,27334 ,13876 ,13458 ,2032 
서울특별시,강동구,고덕2동,1125056,74 ,52 ,58 ,0 ,4 ,513 ,42 ,1 ,2 ,3 ,7 ,9 ,7419 ,3944 ,3475 ,2275 
서울특별시,구로구,고척1동,1117061,126 ,102 ,86 ,0 ,5 ,835 ,28 ,0 ,1 ,2 ,1 ,10 ,24293 ,12179 ,12114 ,3733 
서울특별시,구로구,고척2동,1117062,48 ,101 ,71 ,0 ,7 ,1055 ,56 ,0 ,1 ,3 ,6 ,16 ,29019 ,14401 ,14618 ,3256 
서울특별시,마포구,공덕동,1114077,95 ,93 ,2 ,0 ,0 ,1574 ,62 ,1 ,1 ,3 ,4 ,15 ,40603 ,19306 ,21297 ,5152 
서울특별시,노원구,공릉1동,1111079,355 ,115 ,0 ,0 ,0 ,1584 ,115 ,0 ,1 ,1 ,12 ,29 ,39256 ,19197 ,20059 ,6928 
서울특별시,노원구,공릉2동,1111056,326 ,113 ,1 ,1 ,13 ,981 ,64 ,0 ,7 ,0 ,12 ,29 ,41184 ,20112 ,21072 ,6728 
서울특별시,강서구,공항동,1116069,198 ,104 ,0 ,0 ,2 ,914 ,45 ,0 ,11 ,0 ,6 ,23 ,28336 ,14533 ,13803 ,4720 
서울특별시,광진구,광장동,1105063,125 ,125 ,1 ,1 ,8 ,522 ,27 ,3 ,2 ,0 ,2 ,8 ,36180 ,17487 ,18693 ,4953 
서울특별시,중구,광희동,1102059,182 ,136 ,0 ,0 ,0 ,392 ,12 ,0 ,1 ,11 ,3 ,19 ,6221 ,3257 ,2964 ,3180 
서울특별시,종로구,교남동,1101058,32 ,36 ,0 ,0 ,1 ,1650 ,25 ,0 ,0 ,0 ,5 ,4 ,10779 ,5021 ,5758 ,1118 
서울특별시,구로구,구로1동,1117052,27 ,33 ,36 ,0 ,0 ,329 ,10 ,0 ,1 ,0 ,0 ,19 ,22120 ,10881 ,11239 ,2062 
서울특별시,구로구,구로2동,1117071,172 ,144 ,181 ,0 ,4 ,1574 ,58 ,0 ,2 ,1 ,3 ,20 ,35481 ,18595 ,16886 ,6730 
서울특별시,구로구,구로3동,1117054,254 ,151 ,61 ,0 ,0 ,760 ,55 ,0 ,1 ,0 ,2 ,20 ,26460 ,13526 ,12934 ,4455 
서울특별시,구로구,구로4동,1117055,30 ,34 ,36 ,0 ,0 ,1187 ,54 ,0 ,0 ,3 ,2 ,20 ,26504 ,13440 ,13064 ,3221 
서울특별시,구로구,구로5동,1117056,205 ,189 ,60 ,1 ,2 ,917 ,30 ,0 ,1 ,0 ,3 ,20 ,33690 ,16572 ,17118 ,4918 
서울특별시,은평구,구산동,1112057,74 ,43 ,125 ,2 ,1 ,1235 ,56 ,7 ,1 ,0 ,8 ,13 ,33843 ,16835 ,17008 ,4697 
서울특별시,광진구,구의1동,1105060,34 ,47 ,0 ,1 ,0 ,691 ,47 ,0 ,1 ,0 ,1 ,9 ,23126 ,11047 ,12079 ,3512 
서울특별시,광진구,구의2동,1105061,104 ,63 ,0 ,0 ,3 ,891 ,66 ,2 ,1 ,0 ,3 ,10 ,28032 ,13518 ,14514 ,4182 
서울특별시,광진구,구의3동,1105062,165 ,86 ,0 ,1 ,0 ,669 ,30 ,8 ,1 ,0 ,5 ,10 ,30179 ,14399 ,15780 ,4417 
