검색조건 - 분류항목 : 보행노인사고 다발지역; 세분류 : 17년 보행노인사고 다발지역; 시도 : :: 전체 ::,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 종로구1,서울특별시 종로구 종로2가(탑골공원 부근),6,9,0,3,6,0
서울특별시 종로구2,서울특별시 종로구 숭인동(동묘앞역 부근),4,4,1,2,0,1
서울특별시 종로구3,서울특별시 종로구 창신동(청계7가사거리 부근),4,6,0,4,1,1
서울특별시 종로구4,서울특별시 종로구 내자동(우리은행효자동지점 부근),3,3,1,1,1,0
서울특별시 종로구5,서울특별시 종로구 종로6가(동대문역 부근),3,3,1,1,1,0
서울특별시 종로구6,서울특별시 종로구 견지동(안국동사거리~우정국로 부근),3,3,0,2,1,0
서울특별시 종로구7,서울특별시 종로구 종로4가(승보약국 부근),3,4,0,2,0,2
서울특별시 중구1,서울특별시 중구 신당동(신당역 부근),5,5,0,4,1,0
서울특별시 중구2,서울특별시 중구 남대문로5가(도동삼거리 부근),4,5,0,3,2,0
서울특별시 중구3,서울특별시 중구 봉래동2가(서울역1호선 부근),4,4,0,3,1,0
서울특별시 중구4,서울특별시 중구 북창동(소니서비스센터남대문점 부근),3,5,0,1,2,2
서울특별시 용산구1,서울특별시 용산구 이태원동(대성옵티마약국 부근),4,4,0,2,2,0
서울특별시 용산구2,서울특별시 용산구 한남동(라멘81번옥 부근),3,3,1,1,1,0
서울특별시 용산구3,서울특별시 용산구 용문동(파리바게트원효로점 부근),3,3,0,2,1,0
서울특별시 용산구4,서울특별시 용산구 보광동(IBK기업은행보광동점 부근),3,3,0,2,1,0
서울특별시 용산구5,서울특별시 용산구 남영동(숙대입구역3번출구 부근),3,3,0,2,1,0
서울특별시 성동구1,서울특별시 성동구 행당동(왕십리역11번출구~홈플러스익스프레스왕십리점),5,5,0,1,3,1
서울특별시 성동구2,서울특별시 성동구 사근동(한양대후문약국 부근),4,5,0,2,3,0
서울특별시 성동구3,서울특별시 성동구 행당동(행당과선교 부근),2,2,1,1,0,0
서울특별시 광진구1,서울특별시 광진구 중곡동(신성골목시장 부근),5,7,0,0,6,1
서울특별시 광진구2,서울특별시 광진구 군자동(화양사거리 부근),4,4,0,1,2,1
서울특별시 광진구3,서울특별시 광진구 구의동(슬기유치원 부근),3,3,0,1,2,0
서울특별시 동대문구1,서울특별시 동대문구 제기동(왕산로29길 부근),11,11,0,4,7,0
서울특별시 동대문구2,서울특별시 동대문구 신설동(신삼송빌딩앞 부근),10,10,0,1,8,1
서울특별시 동대문구3,서울특별시 동대문구 전농동(청량리역사거리 부근),9,9,0,6,3,0
서울특별시 동대문구4,서울특별시 동대문구 제기동(KB국민은행홍릉지점 부근),6,6,0,6,0,0
서울특별시 동대문구5,서울특별시 동대문구 전농동(성모온누리약국 부근),5,6,4,1,1,0
서울특별시 동대문구6,서울특별시 동대문구 제기동(제기동역1번출구 부근),5,5,1,2,2,0
서울특별시 동대문구7,서울특별시 동대문구 장안동(배봉초교사거리 부근),4,4,1,0,3,0
서울특별시 동대문구8,서울특별시 동대문구 회기동(IBK기업은행회기역지점 부근),4,5,0,4,1,0
서울특별시 동대문구9,서울특별시 동대문구 제기동(영양물산 부근),4,4,0,4,0,0
서울특별시 동대문구10,서울특별시 동대문구 휘경동(삼성디지털프라자휘경점 부근),3,3,1,2,0,0
서울특별시 동대문구11,서울특별시 동대문구 휘경동(외대앞역교차로 부근),3,4,0,3,1,0
서울특별시 중랑구1,서울특별시 중랑구 면목동(사가정역 부근),7,7,0,6,1,0
서울특별시 중랑구2,서울특별시 중랑구 망우동(산마루한의원 부근),4,6,0,5,0,1
서울특별시 중랑구3,서울특별시 중랑구 망우동(호텔스타상봉 부근),4,6,0,4,2,0
서울특별시 중랑구4,서울특별시 중랑구 묵동(다솔한의원 부근),4,4,0,3,1,0
서울특별시 중랑구5,서울특별시 중랑구 면목동(삼대냉면 부근),4,4,0,2,2,0
서울특별시 중랑구6,서울특별시 중랑구 중화동(경희제일한의원 부근),3,3,0,3,0,0
서울특별시 중랑구7,서울특별시 중랑구 면목동(우림목재합판 부근),2,2,1,1,0,0
서울특별시 성북구1,서울특별시 성북구 동소문동5가(빽다방성신여대입구역점 부근),9,9,0,3,5,1
서울특별시 성북구2,서울특별시 성북구 하월곡동(성북트리즘빌딩사거리 부근),8,9,1,3,5,0
서울특별시 성북구3,서울특별시 성북구 동선동2가(바람마당교 부근),7,7,1,2,4,0
서울특별시 성북구4,서울특별시 성북구 길음동(박찬유치과의원 부근),5,5,0,3,2,0
서울특별시 성북구5,서울특별시 성북구 장위동(성심가정의학과의원 부근),5,5,0,2,3,0
서울특별시 성북구6,서울특별시 성북구 장위동(KEB하나은행장위동지점 부근),4,4,1,1,2,0
서울특별시 성북구7,서울특별시 성북구 장위동(나약국 부근),4,4,0,3,1,0
서울특별시 성북구8,서울특별시 성북구 정릉동(도미노피자정릉점 부근),3,3,1,2,0,0
서울특별시 성북구9,서울특별시 성북구 길음동(삼양로10길 부근),3,3,1,1,1,0
서울특별시 성북구10,서울특별시 성북구 종암동(사대부고앞 부근),3,3,1,1,1,0
서울특별시 성북구11,서울특별시 성북구 정릉동(정릉4동주민센터사거리 부근),3,3,0,3,0,0
서울특별시 성북구12,서울특별시 성북구 석관동(돌곶이역 부근),3,3,0,0,3,0
서울특별시 강북구1,서울특별시 강북구 수유동(수유역 부근),8,10,0,4,6,0
서울특별시 강북구2,서울특별시 강북구 미아동(미아역 부근),6,11,0,4,7,0
서울특별시 강북구3,서울특별시 강북구 수유동(화계역 부근),6,6,0,3,3,0
서울특별시 강북구4,서울특별시 강북구 미아동(삼양사거리역 부근),5,5,0,2,3,0
서울특별시 강북구5,서울특별시 강북구 미아동(창문여고앞삼거리 부근),3,3,1,1,1,0
서울특별시 강북구6,서울특별시 강북구 수유동(광산사거리 부근),3,3,0,1,1,1
서울특별시 도봉구1,서울특별시 도봉구 창동(창동지하차도 부근),4,4,1,1,2,0
서울특별시 도봉구2,서울특별시 도봉구 도봉동(도봉산역1번출구 부근),4,4,0,3,1,0
서울특별시 도봉구3,서울특별시 도봉구 쌍문동(숭미파출소사거리 부근),3,3,0,2,1,0
서울특별시 도봉구4,서울특별시 도봉구 창동(신창교 부근),3,3,0,1,2,0
서울특별시 도봉구5,서울특별시 도봉구 도봉동(도봉역2번출구 부근),2,2,1,0,1,0
서울특별시 노원구1,서울특별시 노원구 상계동(우물집원조추어탕순대국 부근),4,4,0,3,1,0
서울특별시 노원구2,서울특별시 노원구 상계동(수락산역4번출구 부근),4,4,0,3,1,0
서울특별시 노원구3,서울특별시 노원구 상계동(한국전력공사노원도봉지사 부근),3,4,2,1,1,0
서울특별시 노원구4,서울특별시 노원구 공릉동(배꽃나라주유소 부근),3,3,1,1,1,0
서울특별시 노원구5,서울특별시 노원구 공릉동(공릉볼링센타 부근),3,3,0,2,1,0
서울특별시 은평구1,서울특별시 은평구 응암동(응암오거리 부근),6,6,1,4,1,0
서울특별시 은평구2,서울특별시 은평구 신사동(와산교교차로 부근),5,5,0,3,2,0
서울특별시 은평구3,서울특별시 은평구 불광동(연신내역 부근),4,7,0,2,5,0
서울특별시 은평구4,서울특별시 은평구 역촌동(역말사거리 부근),3,3,1,0,2,0
