사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6506631,2019036,1111013700,11110001,서울특별시 종로구1,서울특별시 종로구 낙원동(낙원지하상가 부근),9,9,0,7,1,1,126.9877286,37.57258091,"{""type"":""Polygon"",""coordinates"":[[[126.98952522,37.57258091],[126.9894907,37.5723031],[126.98938846,37.57203597],[126.98922244,37.57178978],[126.988999,37.571574],[126.98872675,37.57139691],[126.98841613,37.57126531],[126.9880791,37.57118428],[126.98772859,37.57115692],[126.98737809,37.57118428],[126.98704105,37.57126531],[126.98673044,37.57139691],[126.98645818,37.571574],[126.98623475,37.57178978],[126.98606872,37.57203597],[126.98596648,37.5723031],[126.98593196,37.57258091],[126.98596648,37.57285871],[126.98606872,37.57312584],[126.98623475,37.57337202],[126.98645818,37.5735878],[126.98673044,37.57376489],[126.98704105,37.57389648],[126.98737809,37.57397751],[126.98772859,37.57400487],[126.9880791,37.57397751],[126.98841613,37.57389648],[126.98872675,37.57376489],[126.988999,37.5735878],[126.98922244,37.57337202],[126.98938846,37.57312584],[126.9894907,37.57285871],[126.98952522,37.57258091]]]}"
6507782,2019036,1111015600,11110002,서울특별시 종로구2,서울특별시 종로구 종로3가(IBK기업은행 종로지점 부근),9,9,0,5,4,0,126.9903853,37.57023557,"{""type"":""Polygon"",""coordinates"":[[[126.9921819,37.57023557],[126.99214737,37.56995776],[126.99204514,37.56969062],[126.99187911,37.56944443],[126.99165567,37.56922863],[126.99138342,37.56905153],[126.99107281,37.56891994],[126.99073577,37.5688389],[126.99038527,37.56881154],[126.99003476,37.5688389],[126.98969772,37.56891994],[126.98938711,37.56905153],[126.98911486,37.56922863],[126.98889142,37.56944443],[126.98872539,37.56969062],[126.98862316,37.56995776],[126.98858863,37.57023557],[126.98862316,37.57051339],[126.98872539,37.57078052],[126.98889142,37.57102671],[126.98911486,37.5712425],[126.98938711,37.57141959],[126.98969772,37.57155119],[126.99003476,37.57163222],[126.99038527,37.57165958],[126.99073577,37.57163222],[126.99107281,37.57155119],[126.99138342,37.57141959],[126.99165567,37.5712425],[126.99187911,37.57102671],[126.99204514,37.57078052],[126.99214737,37.57051339],[126.9921819,37.57023557]]]}"
6506705,2019036,1111017500,11110003,서울특별시 종로구3,서울특별시 종로구 숭인동(연세김치과의원 부근),5,6,0,2,2,2,127.021448,37.57504789,"{""type"":""Polygon"",""coordinates"":[[[127.02324467,37.57504789],[127.02321015,37.5747701],[127.02310791,37.57450297],[127.02294188,37.57425679],[127.02271845,37.57404101],[127.02244619,37.57386393],[127.02213558,37.57373234],[127.02179854,37.57365131],[127.02144804,37.57362395],[127.02109753,37.57365131],[127.0207605,37.57373234],[127.02044988,37.57386393],[127.02017763,37.57404101],[127.0199542,37.57425679],[127.01978817,37.57450297],[127.01968593,37.5747701],[127.01965141,37.57504789],[127.01968593,37.57532568],[127.01978817,37.5755928],[127.0199542,37.57583898],[127.02017763,37.57605475],[127.02044988,37.57623183],[127.0207605,37.57636342],[127.02109753,37.57644445],[127.02144804,37.57647181],[127.02179854,37.57644445],[127.02213558,37.57636342],[127.02244619,37.57623183],[127.02271845,37.57605475],[127.02294188,37.57583898],[127.02310791,37.5755928],[127.02321015,37.57532568],[127.02324467,37.57504789]]]}"
6507784,2019036,1114011800,11140001,서울특별시 중구1,서울특별시 중구 남대문로5가(서울역9-1번출구 부근),5,5,0,3,1,1,126.9727207,37.55488288,"{""type"":""Polygon"",""coordinates"":[[[126.97451736,37.55488288],[126.97448284,37.55460501],[126.9743806,37.55433782],[126.97421457,37.55409157],[126.97399114,37.55387574],[126.97371888,37.5536986],[126.97340827,37.55356698],[126.97307123,37.55348593],[126.97272073,37.55345856],[126.97237022,37.55348593],[126.97203319,37.55356698],[126.97172257,37.5536986],[126.97145032,37.55387574],[126.97122688,37.55409157],[126.97106086,37.55433782],[126.97095862,37.55460501],[126.9709241,37.55488288],[126.97095862,37.55516075],[126.97106086,37.55542794],[126.97122688,37.55567419],[126.97145032,37.55589002],[126.97172257,37.55606715],[126.97203319,37.55619877],[126.97237022,37.55627982],[126.97272073,37.55630719],[126.97307123,37.55627982],[126.97340827,37.55619877],[126.97371888,37.55606715],[126.97399114,37.55589002],[126.97421457,37.55567419],[126.9743806,37.55542794],[126.97448284,37.55516075],[126.97451736,37.55488288]]]}"
6507787,2019036,1114015300,11140002,서울특별시 중구2,서울특별시 중구 방산동(향기나무한의원 부근),3,4,1,3,0,0,127.002822,37.57116695,"{""type"":""Polygon"",""coordinates"":[[[127.00461865,37.57116695],[127.00458413,37.57088914],[127.00448189,37.570622],[127.00431586,37.57037581],[127.00409243,37.57016002],[127.00382017,37.56998292],[127.00350956,37.56985133],[127.00317252,37.56977029],[127.00282202,37.56974293],[127.00247151,37.56977029],[127.00213448,37.56985133],[127.00182386,37.56998292],[127.00155161,37.57016002],[127.00132817,37.57037581],[127.00116215,37.570622],[127.00105991,37.57088914],[127.00102539,37.57116695],[127.00105991,37.57144476],[127.00116215,37.57171189],[127.00132817,37.57195808],[127.00155161,37.57217386],[127.00182386,37.57235095],[127.00213448,37.57248254],[127.00247151,37.57256358],[127.00282202,37.57259094],[127.00317252,37.57256358],[127.00350956,37.57248254],[127.00382017,37.57235095],[127.00409243,37.57217386],[127.00431586,37.57195808],[127.00448189,37.57171189],[127.00458413,37.57144476],[127.00461865,37.57116695]]]}"
6507785,2019036,1114016200,11140003,서울특별시 중구3,서울특별시 중구 신당동(신당중앙시장 부근),3,3,0,2,1,0,127.0195909,37.56553376,"{""type"":""Polygon"",""coordinates"":[[[127.02138754,37.56553376],[127.02135301,37.56525593],[127.02125078,37.56498877],[127.02108475,37.56474256],[127.02086132,37.56452675],[127.02058906,37.56434964],[127.02027845,37.56421804],[127.01994141,37.564137],[127.01959091,37.56410963],[127.0192404,37.564137],[127.01890337,37.56421804],[127.01859275,37.56434964],[127.0183205,37.56452675],[127.01809706,37.56474256],[127.01793104,37.56498877],[127.0178288,37.56525593],[127.01779428,37.56553376],[127.0178288,37.56581159],[127.01793104,37.56607874],[127.01809706,37.56632495],[127.0183205,37.56654075],[127.01859275,37.56671785],[127.01890337,37.56684945],[127.0192404,37.56693049],[127.01959091,37.56695786],[127.01994141,37.56693049],[127.02027845,37.56684945],[127.02058906,37.56671785],[127.02086132,37.56654075],[127.02108475,37.56632495],[127.02125078,37.56607874],[127.02135301,37.56581159],[127.02138754,37.56553376]]]}"
6507789,2019036,1114015100,11140004,서울특별시 중구4,서울특별시 중구 을지로5가(오장동사거리 부근),2,3,2,0,0,1,127.0027071,37.56471141,"{""type"":""Polygon"",""coordinates"":[[[127.00450374,37.56471141],[127.00446922,37.56443357],[127.00436698,37.56416642],[127.00420095,37.5639202],[127.00397752,37.56370439],[127.00370526,37.56352728],[127.00339465,37.56339568],[127.00305761,37.56331463],[127.00270711,37.56328727],[127.0023566,37.56331463],[127.00201957,37.56339568],[127.00170895,37.56352728],[127.0014367,37.56370439],[127.00121326,37.5639202],[127.00104724,37.56416642],[127.000945,37.56443357],[127.00091048,37.56471141],[127.000945,37.56498924],[127.00104724,37.5652564],[127.00121326,37.56550261],[127.0014367,37.56571841],[127.00170895,37.56589552],[127.00201957,37.56602712],[127.0023566,37.56610816],[127.00270711,37.56613552],[127.00305761,37.56610816],[127.00339465,37.56602712],[127.00370526,37.56589552],[127.00397752,37.56571841],[127.00420095,37.56550261],[127.00436698,37.5652564],[127.00446922,37.56498924],[127.00450374,37.56471141]]]}"
6507790,2019036,1117013100,11170001,서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),7,7,0,5,1,1,127.0058221,37.53345082,"{""type"":""Polygon"",""coordinates"":[[[127.00761869,37.53345082],[127.00758416,37.53317287],[127.00748193,37.5329056],[127.0073159,37.53265928],[127.00709246,37.53244338],[127.00682021,37.5322662],[127.0065096,37.53213454],[127.00617256,37.53205346],[127.00582206,37.53202608],[127.00547155,37.53205346],[127.00513451,37.53213454],[127.0048239,37.5322662],[127.00455165,37.53244338],[127.00432821,37.53265928],[127.00416219,37.5329056],[127.00405995,37.53317287],[127.00402542,37.53345082],[127.00405995,37.53372877],[127.00416219,37.53399604],[127.00432821,37.53424235],[127.00455165,37.53445825],[127.0048239,37.53463543],[127.00513451,37.53476708],[127.00547155,37.53484816],[127.00582206,37.53487553],[127.00617256,37.53484816],[127.0065096,37.53476708],[127.00682021,37.53463543],[127.00709246,37.53445825],[127.0073159,37.53424235],[127.00748193,37.53399604],[127.00758416,37.53372877],[127.00761869,37.53345082]]]}"
6514554,2019036,1117012200,11170002,서울특별시 용산구2,서울특별시 용산구 문배동(원효빌딩 부근),3,4,2,2,0,0,126.9662077,37.53801369,"{""type"":""Polygon"",""coordinates"":[[[126.96800435,37.53801369],[126.96796983,37.53773576],[126.96786759,37.5374685],[126.96770157,37.5372222],[126.96747813,37.53700631],[126.96720588,37.53682914],[126.96689526,37.53669749],[126.96655823,37.53661641],[126.96620772,37.53658904],[126.96585722,37.53661641],[126.96552018,37.53669749],[126.96520957,37.53682914],[126.96493731,37.53700631],[126.96471388,37.5372222],[126.96454785,37.5374685],[126.96444561,37.53773576],[126.96441109,37.53801369],[126.96444561,37.53829162],[126.96454785,37.53855887],[126.96471388,37.53880517],[126.96493731,37.53902105],[126.96520957,37.53919822],[126.96552018,37.53932987],[126.96585722,37.53941094],[126.96620772,37.53943831],[126.96655823,37.53941094],[126.96689526,37.53932987],[126.96720588,37.53919822],[126.96747813,37.53902105],[126.96770157,37.53880517],[126.96786759,37.53855887],[126.96796983,37.53829162],[126.96800435,37.53801369]]]}"
6507791,2019036,1117013100,11170003,서울특별시 용산구3,서울특별시 용산구 한남동(가봉대사관 부근),2,2,1,0,1,0,126.9993705,37.5357344,"{""type"":""Polygon"",""coordinates"":[[[127.00116713,37.5357344],[127.00113261,37.53545645],[127.00103037,37.53518919],[127.00086434,37.53494288],[127.00064091,37.53472699],[127.00036865,37.53454981],[127.00005804,37.53441815],[126.999721,37.53433708],[126.9993705,37.5343097],[126.99901999,37.53433708],[126.99868296,37.53441815],[126.99837234,37.53454981],[126.99810009,37.53472699],[126.99787665,37.53494288],[126.99771063,37.53518919],[126.99760839,37.53545645],[126.99757387,37.5357344],[126.99760839,37.53601234],[126.99771063,37.5362796],[126.99787665,37.5365259],[126.99810009,37.53674179],[126.99837234,37.53691896],[126.99868296,37.53705062],[126.99901999,37.53713169],[126.9993705,37.53715906],[126.999721,37.53713169],[127.00005804,37.53705062],[127.00036865,37.53691896],[127.00064091,37.53674179],[127.00086434,37.5365259],[127.00103037,37.5362796],[127.00113261,37.53601234],[127.00116713,37.5357344]]]}"
