emd_cd,emd_eng_nm,emd_kor_nm,NUMPOINTS
11110152,Bongik-dong,봉익동,0
11110153,Donui-dong,돈의동,0
11110141,Anguk-dong,안국동,0
11110142,Sogyeok-dong,소격동,0
11110101,Cheongun-dong,청운동,0
11110109,Nusang-dong,누상동,0
11110110,Nuha-dong,누하동,0
11110111,Ogin-dong,옥인동,0
11110134,Gyeongun-dong,경운동,1
11110112,Chebu-dong,체부동,0
11110113,Pirun-dong,필운동,0
11110115,Sajik-dong,사직동,0
11110122,Cheongjin-dong,청진동,0
11110124,Susong-dong,수송동,0
11110125,Junghak-dong,중학동,0
11110128,Gwanhun-dong,관훈동,0
11110135,Gwancheol-dong,관철동,0
11110129,Gyeonji-dong,견지동,0
11110130,Waryong-dong,와룡동,0
11110131,Gwonnong-dong,권농동,0
11110132,Unni-dong,운니동,1
11110133,Ikseon-dong,익선동,0
11110136,Insa-dong,인사동,0
11110137,Nagwon-dong,낙원동,1
11110140,Samcheong-dong,삼청동,0
11110146,Gahoe-dong,가회동,0
11110147,Jae-dong,재동,0
11110159,Wonnam-dong,원남동,0
11110148,Gye-dong,계동,0
11110149,Wonseo-dong,원서동,0
11110162,Hyoje-dong,효제동,0
11110150,Hunjeong-dong,훈정동,0
11110151,Myo-dong,묘동,0
11110160,Yeonji-dong,연지동,0
11110180,Gyobuk-dong,교북동,0
11140102,Da-dong,다동,0
11500105,Magok-dong,마곡동,1
11500106,Naebalsan-dong,내발산동,1
11500107,Oebalsan-dong,외발산동,0
11500108,Gonghang-dong,공항동,0
11500109,Banghwa-dong,방화동,2
11500110,Gaehwa-dong,개화동,0
11500111,Gwahae-dong,과해동,0
11500112,Ogok-dong,오곡동,0
11500113,Osoe-dong,오쇠동,0
11530101,Sindorim-dong,신도림동,0
11530102,Guro-dong,구로동,1
11530103,Garibong-dong,가리봉동,0
11530106,Gocheok-dong,고척동,0
11530107,Gaebong-dong,개봉동,0
11530108,Oryu-dong,오류동,1
11530109,Gung-dong,궁동,0
11530110,Onsu-dong,온수동,0
11530111,Cheonwang-dong,천왕동,0
11530112,Hang-dong,항동,0
11545101,Gasan-dong,가산동,0
11545102,Doksan-dong,독산동,0
11545103,Siheung-dong,시흥동,0
11560110,Yeouido-dong,여의도동,0
11110157,Inui-dong,인의동,1
11650110,Yeomgok-dong,염곡동,1
11650111,Sinwon-dong,신원동,0
11680101,Yeoksam-dong,역삼동,1
