번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),인허가번호,상세영업상태명
1,백련산힐스테이트2차아파트경로당,서울특별시 은평구 응암동 백련산힐스테이트2차아파트 ,,20121009,운영중,,,,,,,,,,,,3110000201600012,운영
2,백련산힐스테이트1차아파트경로당,서울특별시 은평구 응암동 ,,20131121,운영중,,,,,,,0,,,,,3110000201500015,운영
3,구립양평3가경로당,서울특별시 영등포구 양평동3가 36번지 ,,19890706,운영중,,,,,,,0,,,189979.778775       ,447187.580725       ,3180000201500006,운영
4,큰덕경로당,서울특별시 마포구 공덕동 ,,20111014,운영중,,,,,,,0,,,,,3130000201600006,운영
5,마곡엠밸리6단지경로당,서울특별시 강서구 마곡동 ,,20160801,운영중,,,,,,,58,,,,,3150000201600015,운영
6,흐능날 경로당,서울특별시 서초구 내곡동 1-3026번지 ,,20160616,운영중,,,,,,,25,,,207370.085715       ,440099.063839       ,3210000201600004,운영
7,공덕자이제2경로당,서울특별시 마포구 아현동 ,,20160629,운영중,,,,,,,0,,,,,3130000201600009,운영
8,마곡엠밸리3단지 경로당,서울특별시 강서구 마곡동 ,,20161028,운영중,,,,,,,23,,,,,3150000201600021,운영
9,북한산푸르지오아파트경로당,서울특별시 은평구 녹번동 ,,20160125,운영중,,,,,,,0,,,,,3110000201600001,운영
10,신대방벽산아파트경로당,서울특별시 동작구 신대방동 ,,20130326,운영중,,,,,,,0,,,,,3190000201300003,
11,흑석한강센트레빌2차(아)경로당,서울특별시 동작구 흑석동 ,,20130822,운영중,,,,,,,0,,,,,3190000201300006,
12,흑석한강푸르지오(아)경로당,서울특별시 동작구 흑석동 ,,20130829,운영중,,,,,,,43,,,,,3190000201300007,
13,보라매e편한세상아파트 경로당,서울특별시 동작구 신대방동 720번지 ,,20131030,운영중,,,,,,,0,,,193612.731665       ,443693.802802       ,3190000201300011,
14,보라매e편한세상아파트경로당,서울특별시 동작구 신대방동 ,,20110617,운영중,,,,,,,0,,,,,3190000201300012,
15,형인한강(아)경로당,서울특별시 동작구 노량진동 ,,20140107,운영중,,,,,,,0,,,,,3190000201400002,
16,상도4동 경로당,서울특별시 동작구 상도동 ,,20131107,운영중,,,,,,,0,,,,,3190000201400003,
17,상도엠코타운경로당,서울특별시 동작구 상도동 ,,20130530,운영중,,,,,,,29,,,,,3190000201400007,
18,상도엠코타운 애스톤파크 아파트 경로당,서울특별시 동작구 상도동 ,,20140703,운영중,,,,,,,38,,,,,3190000201400008,
19,학수경로당,서울특별시 동작구 사당동 ,,20111019,운영중,,,,,,,0,,,,,3190000201600009,
20,상도패리스아파트 경로당,서울특별시 동작구 상도동 ,,20141001,운영중,,,,,,,0,,,,,3190000201400013,
21,동원베네스트아파트 경로당,서울특별시 동작구 상도동 ,,20101111,운영중,,,,,,,0,,,,,3190000201600004,
22,동아아파트 경로당,서울특별시 동작구 상도동 ,,20120713,운영중,,,,,,,0,,,,,3190000201600005,
23,흑석한강센트레빌1차아파트 경로당,서울특별시 동작구 흑석동 ,,20140508,운영중,,,,,,,0,,,,,3190000201600006,
24,이수교KCC스위첸아파트 경로당,서울특별시 동작구 동작동 ,,20110803,운영중,,,,,,,0,,,,,3190000201600007,
25,동작동금강KCC아파트 경로당,서울특별시 동작구 동작동 ,,20120710,운영중,,,,,,,0,,,,,3190000201600008,
26,브라운스톤상도아파트 경로당,서울특별시 동작구 상도동 527번지 ,,20100702,운영중,,,,,,,33,,,194963.274672       ,444866.845573       ,3190000201000019,
27,사당동진흥아파트경로당,서울특별시 동작구 사당동 1142번지 ,,20090312,운영중,,,,,,,34,0,0,197199.648971       ,442008.926216       ,3190000200900005,
28,사당휴먼시아 경로당,서울특별시 동작구 사당동 1154번지 ,,20090804,운영중,,,,,,,33,0,0,197289.806805       ,441864.405844       ,3190000200900012,
29,삼호그린아파트 경로당,서울특별시 동작구 사당동 1138번지 ,,20090821,운영중,,,,,,,35,0,0,196862.986014       ,442650.854854       ,3190000200900015,
30,노량진1동 경로당,서울특별시 동작구 노량진동 224-6번지 ,,20091008,운영중,,,,,,,107,0,0,195034.662629       ,445355.268914       ,3190000200900018,
31,상도Encrypted,서울특별시 동작구 상도동 ,,20080602,운영중,,,,,,,137,0,0,,,3190000200800019,
32,상도동살피재경로당,서울특별시 동작구 상도동 126-8번지 ,,20080708,운영중,,,,,,,22,0,0,195985.454372       ,443458.871443       ,3190000200800024,
33,신일해피트리아파트경로당,서울특별시 동작구 대방동 510번지 ,,20081124,운영중,,,,,,,0,0,0,193539.860142       ,445766.782494       ,3190000200800030,
34,사당케이씨씨아파트경로당,서울특별시 동작구 사당동 1139번지 ,,20080109,운영중,,,,,,,23,0,0,196608.871745       ,442945.068602       ,3190000200800001,
35,합정경로당,서울특별시 마포구 합정동 ,,20161212,운영중,,,,,,,46,,,,,3130000201600012,운영
36,서초포레스타3단지(아) 경로당,서울특별시 서초구 신원동 서초포레스타3단지(아) 경로당 ,,20150918,운영중,,,,,,,24,,,,,3210000201500006,운영
37,LH강남아이파크(아)경로당,서울특별시 강남구 자곡동 ,,20150819,운영중,,,,,,,0,,43,,,3220000201500016,운영
38,은빛홍삼경로당,서울특별시 서대문구 홍제동 ,,20160729,운영중,,,,,,,65,,,,,3120000201600014,운영
39,DMC파크뷰자이2단지경로당,서울특별시 서대문구 남가좌동 ,,20161103,운영중,,,,,,,36,,,,,3120000201600016,운영
40,홍제금호어울림경로당,서울특별시 서대문구 홍제동 103동 ,,20161103,운영중,,,,,,,,,,,,3120000201600017,운영
41,금호한신실버문화센터,서울특별시 성동구 금호동3가 금호동한신휴플러스아파트 ,,20161017,운영중,,,,,,,,,,,,3030000201600013,운영
42,신그호파크자이(아) 경로당,서울특별시 성동구 금호동2가 ,,20161125,운영중,,,,,,,,,,,,3030000201600014,운영
43,신금호파크자이(아) 경로당,서울특별시 성동구 금호동2가 ,,20161125,운영중,,,,,,,,,,,,3030000201600015,운영
44,마포래미안푸르지오@1단지경로당,서울특별시 마포구 아현동 ,,20150922,운영중,,,,,,,,,,,,3130000201600011,운영
45,민들레경로당,서울특별시 강서구 화곡동 ,,20151021,운영중,,,,,,,54,,54,,,3150000201500026,운영
46,마곡엠밸리7단지아파트경로당,서울특별시 강서구 마곡동 706동동 ,,20160106,운영중,,,,,,,33,,,,,3150000201600003,운영
47,마포펜트라우스@경로당,서울특별시 마포구 신공덕동 ,,20120523,운영중,,,,,,,0,,,,,3130000201600007,운영
48,텐즈힐 열린 경로당,서울특별시 성동구 하왕십리동 ,,20160912,운영중,,,,,,,,,,,,3030000201600010,운영
49,텐즈힐 행복 경로당,서울특별시 성동구 하왕십리동 ,,20160912,운영중,,,,,,,,,,,,3030000201600011,운영
50,래미안트윈파크아파트 경로당,서울특별시 동작구 본동 ,,20120627,운영중,,,,,,,0,,,,,3190000201600010,
51,해피 경로당,서울특별시 동작구 흑석동 ,,20120208,운영중,,,,,,,0,,,,,3190000201600011,
52,푸르지오아파트1단지경로당,서울특별시 서대문구 북아현동 ,,20160719,운영중,,,,,,,37,,,,,3120000201600012,운영
53,푸르지오아파트2단지경로당,서울특별시 서대문구 북아현동 ,,20160719,운영중,,,,,,,25,,,,,3120000201600013,운영
54,북한산래미안205동경로당,서울특별시 은평구 불광동 1층 205동 ,,20150720,운영중,,,,,,,0,,,,,3110000201500007,운영
55,마포래미안푸르지오3단지@경로당,서울특별시 마포구 아현동 ,,20150922,운영중,,,,,,,,,,,,3130000201600010,운영
56,서초포레스타6단지(아)경로당,서울특별시 서초구 신원동 ,,20151104,운영중,,,,,,,49,,,,,3210000201500007,운영
57,방배서리풀이편한세상실버클럽 경로당,서울특별시 서초구 방배동 ,,20151104,운영중,,,,,,,39,,,,,3210000201500008,운영
58,동원경로당,서울특별시 종로구 숭인동 ,,20040611,운영중,,,,,,,48,,,,,3000000201500007,운영
59,마포동원베네스트아파트 경로당,서울특별시 마포구 도화동 564번지 ,,20091102,운영중,,,,,,,29,0,0,195719.025409       ,448666.230261       ,3130000200900040,운영
60,서강쌍용예가 경로당,서울특별시 마포구 창전동 444번지 ,,20081208,운영중,,,,,,,25,0,0,193694.991688       ,449568.977983       ,3130000200800041,운영
61,브라운스톤 공덕 경로당,서울특별시 마포구 신공덕동 170번지 ,,20090527,운영중,,,,,,,48,0,0,195980.562267       ,448807.052492       ,3130000200900019,운영
62,성산1동2 경로당,서울특별시 마포구 성산동 253-12번지 ,,20090616,운영중,,,,,,,48,0,0,191776.184946       ,450791.690736       ,3130000200900021,운영
63,월드컵 I-PARK 경로당,서울특별시 마포구 성산동 667번지 ,,20090721,운영중,,,,,,,58,0,0,192376.371417       ,451698.523786       ,3130000200900027,운영
64,상암경로문화센터,서울특별시 마포구 상암동 115-17번지 ,,20090812,운영중,,,,,,,50,0,0,190505.429128       ,452763.898742       ,3130000200900032,운영
65,대동 경로당,서울특별시 마포구 도화동 196-25번지 ,,20090923,운영중,,,,,,,50,0,0,195670.126484       ,448727.689658       ,3130000200900036,운영
66,한마음 경로당,서울특별시 마포구 신공덕동 160번지 208 208동 ,,20091125,운영중,,,,,,,30,0,0,196281.310352       ,449356.285285       ,3130000200900038,운영
67,염리삼성래미안(아) 경로당,서울특별시 마포구 염리동 520번지 ,,20020110,운영중,,,,,,,37,0,0,195228.918162       ,449634.748598       ,3130000200700031,운영
68,밤섬현대(아) 경로당,서울특별시 마포구 현석동 220번지 ,,20010320,운영중,,,,,,,36,0,0,193979.616534       ,448935.013231       ,3130000200700034,운영
69,상암월드컵8단지 경로당,서울특별시 마포구 상암동 상암월드컵8단지 ,,20080610,운영중,,,,,,,40,0,0,,,3130000200800026,운영
70,서강엘지(아) 경로당,서울특별시 마포구 신정동 30번지 ,,20060622,운영중,,,,,,,0,0,0,193841.224094       ,449082.136782       ,3130000200600029,운영
71,용강 대림2차@ 경로당,서울특별시 마포구 용강동 501번지 ,,20060725,운영중,,,,,,,25,0,0,194691.449199       ,448746.105295       ,3130000200600034,운영
72,월드컵 참누리 아파트 경로당,서울특별시 마포구 중동 397번지 ,,20061026,운영중,,,,,,,0,0,0,191499.072078       ,452262.908567       ,3130000200600040,운영
73,염산은빛경로당,서울특별시 마포구 염리동 14-18번지 ,,20070213,운영중,,,,,,,29,0,0,195414.178041       ,450223.506789       ,3130000200700005,운영
74,ESA1단지아파트 경로당,서울특별시 도봉구 방학동 718-7번지 ,,20090616,운영중,,,,,,,0,0,0,203946.218925       ,462919.219463       ,3090000200900011,운영
75,신도브래뉴아파트경로당,서울특별시 도봉구 창동 820번지 ,,20080108,운영중,,,,,,,0,0,0,203921.011371       ,461535.73217        ,3090000200800032,운영
76,북한산아이파크아파트경로당,서울특별시 도봉구 창동 825번지 ,,20080108,운영중,,,,,,,0,0,0,203780.770313       ,461726.003548       ,3090000200800033,운영
77,서울가든아파트경로당,서울특별시 도봉구 도봉동 555번지 ,,20080108,운영중,,,,,,,0,0,0,203602.695971       ,464905.033087       ,3090000200800034,운영
78,오봉경로당,서울특별시 도봉구 도봉동 619-10번지 ,,20080108,운영중,,,,,,,0,0,0,203677.876735       ,463122.733898       ,3090000200800035,운영
79,도봉주공아파트경로당,서울특별시 도봉구 도봉동 649번지 ,,20080108,운영중,,,,,,,0,0,0,204402.780107       ,464514.89393        ,3090000200800036,운영
80,도봉파크빌2단지경로당,서울특별시 도봉구 도봉동 647번지 ,,20080108,운영중,,,,,,,0,0,0,204404.601245       ,464663.321565       ,3090000200800037,운영
81,도봉파크빌3단지경로당,서울특별시 도봉구 도봉동 644번지 ,,20080108,운영중,,,,,,,0,0,0,204222.46195        ,465025.246647       ,3090000200800038,운영
82,동아에코빌아파트경로당,서울특별시 도봉구 도봉동 654번지 ,,20080108,운영중,,,,,,,0,0,0,204067.676255       ,464346.259786       ,3090000200800039,운영
83,서광아파트경로당,서울특별시 도봉구 도봉동 643번지 ,,20080108,운영중,,,,,,,0,0,0,204319.250909       ,463970.612315       ,3090000200800040,운영
