사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2.01901E+15,2019년 1월 1일 00시,화요일,서울특별시 구로구 고척동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,승용,남,71세,경상
2.01901E+15,2019년 1월 1일 01시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,27세,경상
2.01901E+15,2019년 1월 1일 02시,화요일,서울특별시 노원구 상계동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,화물,남,51세,상해없음,승용,남,37세,상해없음
2.01901E+15,2019년 1월 1일 05시,화요일,서울특별시 중랑구 망우동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,75세,경상
2.01901E+15,2019년 1월 1일 06시,화요일,서울특별시 노원구 월계동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,46세,상해없음,자전거,남,73세,중상
2.01901E+15,2019년 1월 1일 06시,화요일,서울특별시 강남구 도곡동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,경상,승용,남,39세,경상
2.01901E+15,2019년 1월 1일 07시,화요일,서울특별시 영등포구 당산동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,경상,승용,남,65세,경상
2.01901E+15,2019년 1월 1일 09시,화요일,서울특별시 성북구 돈암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,66세,경상
2.01901E+15,2019년 1월 1일 09시,화요일,서울특별시 서초구 서초동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로안,화물,남,68세,상해없음,승용,남,73세,경상
2.01901E+15,2019년 1월 1일 12시,화요일,서울특별시 중랑구 묵동,중상사고,0,1,0,0,차량단독 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,60세,상해없음,,,,
2.01901E+15,2019년 1월 1일 12시,화요일,서울특별시 강동구 천호동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,56세,상해없음,,,,
2.01901E+15,2019년 1월 1일 15시,화요일,서울특별시 서초구 서초동,중상사고,0,2,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,65세,경상
2.01901E+15,2019년 1월 1일 17시,화요일,서울특별시 종로구 공평동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,45세,상해없음,보행자,남,75세,중상
2.01901E+15,2019년 1월 1일 18시,화요일,서울특별시 성북구 하월곡동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,보행자,여,66세,중상
2.01901E+15,2019년 1월 1일 18시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,남,74세,경상
2.01901E+15,2019년 1월 1일 21시,화요일,서울특별시 은평구 진관동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,여,55세,상해없음,보행자,남,65세,중상
2.01901E+15,2019년 1월 1일 22시,화요일,서울특별시 은평구 응암동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,여,86세,부상신고,승용,남,60세,상해없음
2.01901E+15,2019년 1월 1일 22시,화요일,서울특별시 강동구 상일동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,기타,단일로 - 기타,승합,남,39세,상해없음,보행자,여,74세,중상
2.01901E+15,2019년 1월 2일 06시,수요일,서울특별시 은평구 구산동,중상사고,0,1,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,승용,남,62세,경상
2.01901E+15,2019년 1월 2일 08시,수요일,서울특별시 마포구 공덕동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,49세,상해없음,승용,남,74세,경상
2.01901E+15,2019년 1월 2일 09시,수요일,서울특별시 종로구 신영동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,흐림,기타 - 기타,승용,남,45세,경상,승용,남,73세,경상
2.01901E+15,2019년 1월 2일 10시,수요일,서울특별시 성북구 상월곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,46세,상해없음,보행자,남,75세,중상
2.01901E+15,2019년 1월 2일 11시,수요일,서울특별시 성북구 안암동5가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,승용,남,75세,경상
2.01901E+15,2019년 1월 2일 11시,수요일,서울특별시 양천구 신정동,중상사고,0,1,3,1,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,74세,경상,승용,남,24세,중상
2.01901E+15,2019년 1월 2일 11시,수요일,서울특별시 강남구 수서동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,79세,경상,승용,남,29세,상해없음
2.01901E+15,2019년 1월 2일 12시,수요일,서울특별시 서대문구 북아현동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,82세,중상,건설기계,남,56세,상해없음
2.01901E+15,2019년 1월 2일 13시,수요일,서울특별시 마포구 성산동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,보행자,남,76세,중상
2.01901E+15,2019년 1월 2일 14시,수요일,서울특별시 중구 봉래동2가,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,상해없음,,,,
2.01901E+15,2019년 1월 2일 14시,수요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,이륜,남,88세,경상,승용,여,52세,상해없음
2.01901E+15,2019년 1월 2일 15시,수요일,서울특별시 서대문구 북가좌동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,74세,부상신고,승용,남,45세,상해없음
2.01901E+15,2019년 1월 2일 15시,수요일,서울특별시 송파구 석촌동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,보행자,남,66세,경상
2.01901E+15,2019년 1월 2일 15시,수요일,서울특별시 성북구 하월곡동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,65세,상해없음,보행자,여,81세,경상
2.01901E+15,2019년 1월 2일 18시,수요일,서울특별시 영등포구 문래동1가,경상사고,0,0,5,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,46세,경상,승용,남,69세,경상
2.01901E+15,2019년 1월 2일 18시,수요일,서울특별시 성동구 송정동,경상사고,0,0,1,0,차대사람 - 기타,중앙선침범,포장 - 기타,맑음,단일로 - 기타,화물,남,33세,상해없음,보행자,여,75세,경상
2.01901E+15,2019년 1월 2일 18시,수요일,서울특별시 구로구 개봉동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,37세,경상
2.01901E+15,2019년 1월 2일 21시,수요일,서울특별시 강서구 염창동,중상사고,0,1,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,남,68세,경상
2.01901E+15,2019년 1월 2일 21시,수요일,서울특별시 송파구 풍납동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,72세,경상,,,,
2.01901E+15,2019년 1월 3일 06시,목요일,서울특별시 중구 봉래동2가,중상사고,0,1,0,0,차량단독 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,57세,상해없음,,,,
2.01901E+15,2019년 1월 3일 09시,목요일,서울특별시 성동구 금호동4가,중상사고,0,1,6,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,경상,승합,남,68세,경상
2.01901E+15,2019년 1월 3일 09시,목요일,서울특별시 강서구 화곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,24세,상해없음,보행자,여,72세,중상
2.01901E+15,2019년 1월 3일 09시,목요일,서울특별시 도봉구 방학동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,67세,상해없음,자전거,남,66세,중상
2.01901E+15,2019년 1월 3일 10시,목요일,서울특별시 성북구 안암동5가,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,,,,
2.01901E+15,2019년 1월 3일 10시,목요일,서울특별시 강북구 수유동,중상사고,0,1,0,0,차대사람 - 횡단중,불법유턴,포장 - 건조,맑음,교차로 - 교차로안,승용,남,62세,상해없음,보행자,여,75세,중상
2.01901E+15,2019년 1월 3일 11시,목요일,서울특별시 은평구 역촌동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,49세,상해없음,자전거,남,76세,중상
2.01901E+15,2019년 1월 3일 12시,목요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,26세,상해없음,보행자,여,69세,중상
2.01901E+15,2019년 1월 3일 12시,목요일,서울특별시 노원구 상계동,사망사고,1,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,71세,상해없음,보행자,여,45세,사망
2.01901E+15,2019년 1월 3일 14시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,80세,중상
2.01901E+15,2019년 1월 3일 14시,목요일,서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,기타불명,여,73세,경상
2.01901E+15,2019년 1월 3일 15시,목요일,서울특별시 서초구 잠원동,경상사고,0,0,1,1,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,66세,부상신고,이륜,남,38세,경상
2.01901E+15,2019년 1월 3일 15시,목요일,서울특별시 서초구 반포동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,76세,상해없음,승용,남,76세,경상
2.01901E+15,2019년 1월 3일 16시,목요일,서울특별시 성동구 하왕십리동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,74세,상해없음,보행자,남,71세,경상
2.01901E+15,2019년 1월 3일 16시,목요일,서울특별시 송파구 석촌동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,보행자,여,87세,중상
2.01901E+15,2019년 1월 3일 16시,목요일,서울특별시 구로구 개봉동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,35세,상해없음,보행자,남,84세,중상
2.01901E+15,2019년 1월 3일 17시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승합,남,47세,상해없음,보행자,여,70세,경상
2.01901E+15,2019년 1월 3일 20시,목요일,서울특별시 마포구 용강동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,23세,상해없음,보행자,여,66세,중상
2.01901E+15,2019년 1월 3일 20시,목요일,서울특별시 강서구 염창동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,여,80세,중상
2.01901E+15,2019년 1월 3일 20시,목요일,서울특별시 서초구 서초동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,보행자,남,73세,중상
2.01901E+15,2019년 1월 4일 01시,금요일,서울특별시 관악구 신림동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,54세,상해없음,보행자,남,65세,중상
