시도,시군구,기준년도,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,합계,사고건수,"3,528","3,733","4,197","4,492","5,009","5,388","5,219","5,357","5,761","5,912"
서울,합계,사망자수,125,123,144,128,136,139,128,139,121,103
서울,종로구,사고건수,139,148,144,143,140,168,173,192,191,184
서울,종로구,사망자수,7,5,4,4,3,3,5,7,1,2
서울,중구,사고건수,124,134,143,145,162,165,139,156,164,151
서울,중구,사망자수,2,2,5,4,1,3,6,1,3,3
서울,용산구,사고건수,114,87,119,137,158,169,167,163,170,144
서울,용산구,사망자수,3,1,2,3,1,7,4,2,7,2
서울,성동구,사고건수,98,112,106,128,153,177,139,161,158,162
서울,성동구,사망자수,3,5,0,4,4,4,5,4,3,8
서울,동대문구,사고건수,211,204,248,271,287,361,357,313,327,315
서울,동대문구,사망자수,11,5,5,7,11,7,5,11,5,5
서울,성북구,사고건수,175,184,182,203,235,275,248,285,228,262
서울,성북구,사망자수,7,8,6,6,4,8,5,11,9,5
서울,도봉구,사고건수,119,111,122,135,171,170,171,170,190,189
서울,도봉구,사망자수,5,4,5,6,5,3,4,3,1,1
서울,은평구,사고건수,166,194,221,177,195,208,217,195,244,246
서울,은평구,사망자수,8,14,10,4,2,11,9,6,7,5
서울,서대문구,사고건수,121,136,131,179,156,180,173,166,203,211
서울,서대문구,사망자수,6,4,2,6,5,4,7,4,3,11
서울,마포구,사고건수,138,141,147,191,181,203,198,208,191,192
서울,마포구,사망자수,4,5,10,9,5,5,4,4,4,3
서울,강서구,사고건수,173,172,184,212,240,234,240,231,210,276
서울,강서구,사망자수,5,3,7,6,11,2,4,6,5,8
서울,구로구,사고건수,127,147,168,145,213,220,207,203,242,230
서울,구로구,사망자수,2,6,6,9,6,9,5,6,6,5
서울,영등포구,사고건수,179,210,224,269,266,315,312,328,350,341
서울,영등포구,사망자수,9,4,14,9,8,12,5,8,6,2
서울,동작구,사고건수,99,114,129,156,148,175,196,200,225,203
서울,동작구,사망자수,5,4,4,2,4,2,8,11,4,1
서울,관악구,사고건수,158,169,181,203,231,218,171,184,182,194
서울,관악구,사망자수,7,6,9,8,8,5,5,7,3,5
서울,강남구,사고건수,157,192,239,251,283,260,303,324,351,352
서울,강남구,사망자수,3,2,5,9,6,7,1,4,7,6
서울,강동구,사고건수,118,152,167,168,202,206,217,221,242,286
서울,강동구,사망자수,2,7,3,1,8,8,6,11,4,5
서울,송파구,사고건수,172,188,268,241,292,299,274,321,373,395
서울,송파구,사망자수,5,12,4,6,7,4,3,8,7,2
서울,서초구,사고건수,148,165,163,190,200,202,248,237,290,284
서울,서초구,사망자수,5,4,9,5,3,5,4,9,4,5
서울,양천구,사고건수,112,124,136,144,171,227,191,177,209,237
서울,양천구,사망자수,3,4,8,4,6,5,6,5,3,3
서울,중랑구,사고건수,193,163,217,230,204,240,213,250,254,276
서울,중랑구,사망자수,5,3,5,2,3,2,5,2,6,7
서울,노원구,사고건수,155,158,181,179,212,206,228,212,245,297
서울,노원구,사망자수,8,4,4,3,8,6,5,2,8,2
서울,광진구,사고건수,117,109,140,130,166,167,113,146,133,128
서울,광진구,사망자수,4,7,7,2,3,5,3,3,4,1
서울,강북구,사고건수,128,121,137,174,198,224,216,200,246,217
서울,강북구,사망자수,5,2,6,7,8,8,8,2,8,3
서울,금천구,사고건수,87,98,100,91,145,119,108,114,143,140
서울,금천구,사망자수,1,2,4,2,6,4,6,2,3,3
출처) 도로교통공단,,,,,,,,,,,,
