시도,시군구,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,합계,"3,528","3,733","4,197","4,492","5,009","5,388","5,219","5,357","5,761","5,912"
서울,종로구,139,148,144,143,140,168,173,192,191,184
서울,중구,124,134,143,145,162,165,139,156,164,151
서울,용산구,114,87,119,137,158,169,167,163,170,144
서울,성동구,98,112,106,128,153,177,139,161,158,162
서울,동대문구,211,204,248,271,287,361,357,313,327,315
서울,성북구,175,184,182,203,235,275,248,285,228,262
서울,도봉구,119,111,122,135,171,170,171,170,190,189
서울,은평구,166,194,221,177,195,208,217,195,244,246
서울,서대문구,121,136,131,179,156,180,173,166,203,211
서울,마포구,138,141,147,191,181,203,198,208,191,192
서울,강서구,173,172,184,212,240,234,240,231,210,276
서울,구로구,127,147,168,145,213,220,207,203,242,230
서울,영등포구,179,210,224,269,266,315,312,328,350,341
서울,동작구,99,114,129,156,148,175,196,200,225,203
서울,관악구,158,169,181,203,231,218,171,184,182,194
서울,강남구,157,192,239,251,283,260,303,324,351,352
서울,강동구,118,152,167,168,202,206,217,221,242,286
서울,송파구,172,188,268,241,292,299,274,321,373,395
서울,서초구,148,165,163,190,200,202,248,237,290,284
서울,양천구,112,124,136,144,171,227,191,177,209,237
서울,중랑구,193,163,217,230,204,240,213,250,254,276
서울,노원구,155,158,181,179,212,206,228,212,245,297
서울,광진구,117,109,140,130,166,167,113,146,133,128
서울,강북구,128,121,137,174,198,224,216,200,246,217
서울,금천구,87,98,100,91,145,119,108,114,143,140
출처) 도로교통공단,,,,,,,,,,,
