시도,시군구,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울,합계,"1,930","1,808","1,621","1,562","1,710","1,619","1,515","1,466","1,331","1,475"
서울,종로구,33,31,37,30,35,30,22,34,28,20
서울,중구,23,28,28,27,24,27,25,25,23,24
서울,용산구,36,42,32,39,32,39,38,35,34,27
서울,성동구,42,60,27,40,36,35,45,28,28,45
서울,동대문구,73,72,50,57,58,64,63,44,42,41
서울,성북구,102,79,81,57,87,75,58,64,64,59
서울,도봉구,62,64,53,47,61,50,52,47,34,42
서울,은평구,105,117,84,70,81,68,52,54,56,55
서울,서대문구,70,42,44,56,59,51,42,31,32,43
서울,마포구,67,56,56,55,53,66,62,59,45,45
서울,강서구,102,94,79,90,86,85,73,62,64,90
서울,구로구,73,63,85,67,88,68,66,68,63,81
서울,영등포구,91,81,73,76,73,80,79,89,85,74
서울,동작구,59,64,39,54,65,48,63,46,43,57
서울,관악구,89,76,65,72,48,50,42,32,35,37
서울,강남구,79,77,101,75,96,90,92,103,86,107
서울,강동구,81,100,85,80,89,92,78,62,58,69
서울,송파구,151,114,149,117,138,138,134,131,110,136
서울,서초구,68,72,68,65,78,70,71,93,77,69
서울,양천구,102,92,67,69,89,75,74,84,72,81
서울,중랑구,112,91,78,90,73,87,66,66,68,65
서울,노원구,108,115,80,87,83,81,90,76,73,74
서울,광진구,79,69,51,66,68,41,49,42,43,45
서울,강북구,65,62,55,41,56,59,42,47,42,59
서울,금천구,58,47,54,35,54,50,37,44,26,30
출처) 도로교통공단,,,,,,,,,,,
