실내여행지,월,건수
서울특별시교육청 과학전시관,1,6
서울특별시교육청 과학전시관,2,15
서울특별시교육청 과학전시관,3,16
서울특별시교육청 과학전시관,4,7
서울특별시교육청 과학전시관,5,14
서울특별시교육청 과학전시관,6,6
예술의전당,1,5884
예술의전당,2,5831
예술의전당,3,4457
예술의전당,4,4245
예술의전당,5,4126
예술의전당,6,4548
김천부항댐 물 문화관,1,17
김천부항댐 물 문화관,2,21
김천부항댐 물 문화관,3,23
김천부항댐 물 문화관,4,11
김천부항댐 물 문화관,5,31
김천부항댐 물 문화관,6,28
스파랜드 센텀시티,1,80
스파랜드 센텀시티,2,59
스파랜드 센텀시티,3,43
스파랜드 센텀시티,4,32
스파랜드 센텀시티,5,37
스파랜드 센텀시티,6,29
해녀박물관,1,174
해녀박물관,2,124
해녀박물관,3,146
해녀박물관,4,127
해녀박물관,5,146
해녀박물관,6,146
국립광주박물관,1,64
국립광주박물관,2,67
국립광주박물관,3,37
국립광주박물관,4,53
국립광주박물관,5,102
국립광주박물관,6,103
국립중앙과학관,1,329
국립중앙과학관,2,249
국립중앙과학관,3,211
국립중앙과학관,4,354
국립중앙과학관,5,295
국립중앙과학관,6,336
청계천박물관,1,312
청계천박물관,2,253
청계천박물관,3,212
청계천박물관,4,237
청계천박물관,5,293
청계천박물관,6,270
국립진주박물관,1,84
국립진주박물관,2,43
국립진주박물관,3,39
국립진주박물관,4,47
국립진주박물관,5,94
국립진주박물관,6,90
전쟁기념관,1,774
전쟁기념관,2,679
전쟁기념관,3,567
전쟁기념관,4,547
전쟁기념관,5,702
전쟁기념관,6,1121
부안청자박물관,1,22
부안청자박물관,2,8
부안청자박물관,3,13
부안청자박물관,4,11
부안청자박물관,5,14
부안청자박물관,6,17
매헌 윤봉길의사 기념관,1,47
매헌 윤봉길의사 기념관,2,39
매헌 윤봉길의사 기념관,3,39
매헌 윤봉길의사 기념관,4,50
매헌 윤봉길의사 기념관,5,36
매헌 윤봉길의사 기념관,6,40
광진교 8번가,1,2
광진교 8번가,2,7
광진교 8번가,3,4
광진교 8번가,4,8
광진교 8번가,5,7
광진교 8번가,6,13
현대자동차 문화회관,1,156
현대자동차 문화회관,2,169
현대자동차 문화회관,3,216
현대자동차 문화회관,4,191
현대자동차 문화회관,5,133
현대자동차 문화회관,6,137
롯데월드타워 서울스카이,1,2747
롯데월드타워 서울스카이,2,2211
롯데월드타워 서울스카이,3,2451
롯데월드타워 서울스카이,4,2174
롯데월드타워 서울스카이,5,2352
롯데월드타워 서울스카이,6,2432
챔피언1250,1,114
챔피언1250,2,42
챔피언1250,3,26
챔피언1250,4,34
챔피언1250,5,28
챔피언1250,6,47
서울 트릭아이미술관,1,11
서울 트릭아이미술관,2,8
서울 트릭아이미술관,3,14
서울 트릭아이미술관,4,5
서울 트릭아이미술관,5,7
서울 트릭아이미술관,6,16
서울대학교 박물관,1,15
서울대학교 박물관,2,13
서울대학교 박물관,3,13
서울대학교 박물관,4,7
서울대학교 박물관,5,32
서울대학교 박물관,6,17
농업과학관,1,82
농업과학관,2,76
농업과학관,3,52
농업과학관,4,69
농업과학관,5,72
농업과학관,6,77
말박물관,1,14784
말박물관,2,12897
말박물관,3,13386
말박물관,4,11396
말박물관,5,11864
말박물관,6,10859
평창무이예술관,1,9
평창무이예술관,2,4
평창무이예술관,3,4
평창무이예술관,4,5
평창무이예술관,5,8
평창무이예술관,6,4
용두산공원 부산타워 세양,6,1
세라믹 팔레스 홀,1,38
세라믹 팔레스 홀,2,3
세라믹 팔레스 홀,3,2
세라믹 팔레스 홀,4,5
세라믹 팔레스 홀,5,7
세라믹 팔레스 홀,6,5
박물관은 살아있다(인사동점),1,12
박물관은 살아있다(인사동점),2,7
박물관은 살아있다(인사동점),3,3
박물관은 살아있다(인사동점),4,1
박물관은 살아있다(인사동점),5,1
박물관은 살아있다(인사동점),6,2
테디베어뮤지엄 경주,1,10
테디베어뮤지엄 경주,2,5
테디베어뮤지엄 경주,3,9
테디베어뮤지엄 경주,4,5
테디베어뮤지엄 경주,5,7
테디베어뮤지엄 경주,6,4
조명박물관,1,42
조명박물관,2,29
조명박물관,3,13
조명박물관,4,19
조명박물관,5,15
조명박물관,6,18
옛터민속박물관,1,33
옛터민속박물관,2,13
옛터민속박물관,3,18
옛터민속박물관,4,28
옛터민속박물관,5,24
옛터민속박물관,6,23
프라움악기박물관,1,6
프라움악기박물관,2,12
프라움악기박물관,3,14
프라움악기박물관,4,18
프라움악기박물관,5,20
프라움악기박물관,6,33
부산자유회관(부산통일관),1,285
부산자유회관(부산통일관),2,321
부산자유회관(부산통일관),3,319
부산자유회관(부산통일관),4,320
부산자유회관(부산통일관),5,270
부산자유회관(부산통일관),6,311
제주테지움,1,22
제주테지움,2,13
제주테지움,3,7
제주테지움,4,5
제주테지움,5,7
제주테지움,6,28
민물고기생태체험관,1,27
민물고기생태체험관,2,17
민물고기생태체험관,3,9
민물고기생태체험관,4,18
민물고기생태체험관,5,11
민물고기생태체험관,6,30
보라매안전체험관,1,31
보라매안전체험관,2,9
보라매안전체험관,3,18
보라매안전체험관,4,25
보라매안전체험관,5,17
보라매안전체험관,6,13
국립중앙박물관,1,2408
국립중앙박물관,2,1655
국립중앙박물관,3,1471
국립중앙박물관,4,1367
국립중앙박물관,5,1970
국립중앙박물관,6,1744
국립고궁박물관,1,544
국립고궁박물관,2,486
국립고궁박물관,3,338
국립고궁박물관,4,230
국립고궁박물관,5,314
국립고궁박물관,6,292
국립현대미술관(덕수궁관),1,101
국립현대미술관(덕수궁관),2,73
국립현대미술관(덕수궁관),3,52
국립현대미술관(덕수궁관),4,42
국립현대미술관(덕수궁관),5,80
국립현대미술관(덕수궁관),6,52
김대중도서관,1,11
김대중도서관,2,16
김대중도서관,3,13
김대중도서관,4,14
김대중도서관,5,39
김대중도서관,6,55
대한민국역사박물관,1,210
대한민국역사박물관,2,166
대한민국역사박물관,3,175
대한민국역사박물관,4,174
대한민국역사박물관,5,347
대한민국역사박물관,6,267
국립현대미술관(과천관),1,134
국립현대미술관(과천관),2,86
국립현대미술관(과천관),3,50
국립현대미술관(과천관),4,39
국립현대미술관(과천관),5,91
국립현대미술관(과천관),6,41
아시아출판문화정보센터,1,1437
아시아출판문화정보센터,2,1266
아시아출판문화정보센터,3,1431
아시아출판문화정보센터,4,1583
아시아출판문화정보센터,5,1476
아시아출판문화정보센터,6,1397
화진포생태박물관,1,22
화진포생태박물관,2,14
화진포생태박물관,3,33
화진포생태박물관,4,18
화진포생태박물관,5,35
화진포생태박물관,6,38
진부령미술관,1,13
진부령미술관,2,15
진부령미술관,3,16
진부령미술관,4,11
진부령미술관,5,11
진부령미술관,6,21
성균관대학교 박물관,1,69
성균관대학교 박물관,2,102
성균관대학교 박물관,3,137
성균관대학교 박물관,4,130
성균관대학교 박물관,5,139
성균관대학교 박물관,6,127
서울대학교 치의학박물관,1,2
서울대학교 치의학박물관,2,2
서울대학교 치의학박물관,3,3
서울대학교 치의학박물관,4,6
서울대학교 치의학박물관,5,4
석정문학관,1,14
석정문학관,2,12
석정문학관,3,5
석정문학관,4,7
석정문학관,5,8
석정문학관,6,12
김포독립운동기념관,1,26
김포독립운동기념관,2,12
김포독립운동기념관,3,21
김포독립운동기념관,4,13
김포독립운동기념관,5,7
김포독립운동기념관,6,29
황어장터 3.1만세운동 기념관,1,2
황어장터 3.1만세운동 기념관,2,2
황어장터 3.1만세운동 기념관,3,4
코엑스 아쿠아리움,1,391
코엑스 아쿠아리움,2,187
코엑스 아쿠아리움,3,147
코엑스 아쿠아리움,4,140
코엑스 아쿠아리움,5,183
코엑스 아쿠아리움,6,193
표충사호국박물관,1,2
표충사호국박물관,2,3
표충사호국박물관,3,3
표충사호국박물관,4,6
표충사호국박물관,5,14
표충사호국박물관,6,9
63아트,1,785
63아트,2,1187
63아트,3,869
63아트,4,968
63아트,5,695
63아트,6,1205
물사랑 배움터,1,1
물사랑 배움터,2,2
물사랑 배움터,4,1
물사랑 배움터,5,8
물사랑 배움터,6,16
VR스테이션,1,515
VR스테이션,2,541
VR스테이션,3,528
VR스테이션,4,529
VR스테이션,5,472
VR스테이션,6,456
미당 서정주 시문학관,1,5
미당 서정주 시문학관,2,3
미당 서정주 시문학관,3,6
미당 서정주 시문학관,4,1
미당 서정주 시문학관,5,4
미당 서정주 시문학관,6,2
키자니아 서울,1,121
키자니아 서울,2,34
키자니아 서울,3,29
키자니아 서울,4,32
키자니아 서울,5,29
키자니아 서울,6,53
대구오페라하우스,1,101
대구오페라하우스,2,96
대구오페라하우스,3,315
대구오페라하우스,4,127
대구오페라하우스,5,119
대구오페라하우스,6,155
한국민속촌 옹기전시관,1,2
한국민속촌 옹기전시관,2,1
한국민속촌 옹기전시관,4,1
한국민속촌 옹기전시관,6,3
아쿠아플라넷 제주,1,249
아쿠아플라넷 제주,2,166
아쿠아플라넷 제주,3,108
아쿠아플라넷 제주,4,137
아쿠아플라넷 제주,5,145
아쿠아플라넷 제주,6,258
안산문화예술의전당,1,48
안산문화예술의전당,2,27
안산문화예술의전당,3,25
안산문화예술의전당,4,28
안산문화예술의전당,5,30
안산문화예술의전당,6,33
평송청소년문화센터,1,24
평송청소년문화센터,2,15
평송청소년문화센터,3,8
평송청소년문화센터,4,11
평송청소년문화센터,5,6
평송청소년문화센터,6,5
울산암각화박물관,1,12
울산암각화박물관,2,6
울산암각화박물관,3,6
울산암각화박물관,4,16
울산암각화박물관,5,5
울산암각화박물관,6,15
가평문화예술회관,1,30
가평문화예술회관,2,28
가평문화예술회관,3,20
가평문화예술회관,4,23
가평문화예술회관,5,26
가평문화예술회관,6,20
도산안창호기념관,1,8
도산안창호기념관,2,10
도산안창호기념관,3,11
도산안창호기념관,4,11
도산안창호기념관,5,13
도산안창호기념관,6,6
명지대학교 박물관,1,25
명지대학교 박물관,2,20
명지대학교 박물관,3,22
명지대학교 박물관,4,33
명지대학교 박물관,5,42
명지대학교 박물관,6,23
아주대학교박물관,1,529
아주대학교박물관,2,514
아주대학교박물관,3,526
아주대학교박물관,4,458
아주대학교박물관,5,477
아주대학교박물관,6,394
백남준아트센터,1,143
백남준아트센터,2,109
백남준아트센터,3,81
백남준아트센터,4,119
백남준아트센터,5,131
백남준아트센터,6,113
경주예술의전당,1,47
경주예술의전당,2,36
경주예술의전당,3,20
경주예술의전당,4,30
경주예술의전당,5,41
경주예술의전당,6,59
단국대학교 석주선기념박물관,1,16
단국대학교 석주선기념박물관,2,16
단국대학교 석주선기념박물관,3,19
단국대학교 석주선기념박물관,4,10
단국대학교 석주선기념박물관,5,22
단국대학교 석주선기념박물관,6,9
중랑구립정보도서관,1,11
중랑구립정보도서관,2,6
중랑구립정보도서관,3,7
중랑구립정보도서관,4,9
중랑구립정보도서관,5,18
중랑구립정보도서관,6,16
수도국산달동네박물관,1,38
수도국산달동네박물관,2,34
수도국산달동네박물관,3,29
수도국산달동네박물관,4,16
수도국산달동네박물관,5,38
수도국산달동네박물관,6,28
부평역사박물관,1,31
부평역사박물관,2,31
부평역사박물관,3,20
부평역사박물관,4,18
부평역사박물관,5,16
부평역사박물관,6,10
충주세계무술박물관,1,13
충주세계무술박물관,2,9
충주세계무술박물관,3,7
충주세계무술박물관,4,14
충주세계무술박물관,5,24
충주세계무술박물관,6,24
국립조세박물관,1,4
국립조세박물관,2,39
국립조세박물관,3,3
국립조세박물관,4,3
국립조세박물관,5,3
국립조세박물관,6,10
삼성미술관 리움,1,127
삼성미술관 리움,2,122
삼성미술관 리움,3,103
삼성미술관 리움,4,121
삼성미술관 리움,5,115
삼성미술관 리움,6,118
대구대학교 중앙박물관,1,121
대구대학교 중앙박물관,2,115
대구대학교 중앙박물관,3,99
대구대학교 중앙박물관,4,109
대구대학교 중앙박물관,5,145
대구대학교 중앙박물관,6,120
대구가톨릭대학교 역사박물관,1,194
대구가톨릭대학교 역사박물관,2,232
대구가톨릭대학교 역사박물관,3,211
대구가톨릭대학교 역사박물관,4,198
대구가톨릭대학교 역사박물관,5,205
대구가톨릭대학교 역사박물관,6,210
영남대학교박물관,1,5
영남대학교박물관,2,2
영남대학교박물관,3,6
영남대학교박물관,4,3
영남대학교박물관,5,12
영남대학교박물관,6,6
정림사지박물관,1,41
정림사지박물관,2,37
