시군명,구/읍면동명,사고년도,사고유형구분,다발지역FID,다발지역ID,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
화성시,병점동,2018,스쿨존내어린이사고다발지,6503361,2019034,4159011700,41590001,경기도 화성시1,경기도 화성시 병점동(태안초교 부근),2,2,0,1,1,0,37.210868524963,127.042759000429,"{""type"":""Polygon"",""coordinates"":[[[127.045453946281,37.210868524963],[127.045402163652,37.210449802246],[127.045248805743,37.2100471686168],[127.044999766012,37.2096760974366],[127.044664614916,37.2093508493262],[127.044256232124,37.2090839240529],[127.043790311558,37.20888558007],[127.043284758283,37.208763440189],[127.042759000429,37.2087221985536],[127.042233242575,37.208763440189],[127.0417276893,37.20888558007],[127.041261768734,37.2090839240529],[127.040853385942,37.2093508493262],[127.040518234846,37.2096760974366],[127.040269195115,37.2100471686168],[127.040115837206,37.210449802246],[127.040064054577,37.210868524963],[127.040115837206,37.2112872453563],[127.040269195115,37.2116898723684],[127.040518234846,37.2120609336454],[127.040853385942,37.2123861700742],[127.041261768734,37.2126530836659],[127.0417276893,37.2128514177457],[127.042233242575,37.2129735510096],[127.042759000429,37.2130147903213],[127.043284758283,37.2129735510096],[127.043790311558,37.2128514177457],[127.044256232124,37.2126530836659],[127.044664614916,37.2123861700742],[127.044999766012,37.2120609336454],[127.045248805743,37.2116898723684],[127.045402163652,37.2112872453563],[127.045453946281,37.210868524963]]]}"
화성시,향남읍,2018,스쿨존내어린이사고다발지,6503372,2019034,4159025939,41590002,경기도 화성시2,경기도 화성시 향남읍(한울초교 부근),1,1,1,0,0,0,37.126554743108,126.917678271236,"{""type"":""Polygon"",""coordinates"":[[[126.920373217088,37.126554743108],[126.920321434459,37.126135552962],[126.92016807655,37.1257324698687],[126.919919036819,37.1253609844615],[126.919583885723,37.1250353732794],[126.919175502931,37.1247681500416],[126.918709582365,37.1245695846517],[126.91820402909,37.1244473084291],[126.917678271236,37.1244060207568],[126.917152513382,37.1244473084291],[126.916646960107,37.1245695846517],[126.916181039541,37.1247681500416],[126.915772656749,37.1250353732794],[126.915437505653,37.1253609844615],[126.915188465922,37.1257324698687],[126.915035108013,37.126135552962],[126.914983325384,37.126554743108],[126.915035108013,37.1269739309323],[126.915188465922,37.1273770074139],[126.915437505653,37.1277484829261],[126.915772656749,37.1280740824363],[126.916181039541,37.128341294002],[126.916646960107,37.128539849497],[126.917152513382,37.1286621191079],[126.917678271236,37.1287034044584],[126.91820402909,37.1286621191079],[126.918709582365,37.128539849497],[126.919175502931,37.128341294002],[126.919583885723,37.1280740824363],[126.919919036819,37.1277484829261],[126.92016807655,37.1273770074139],[126.920321434459,37.1269739309323],[126.920373217088,37.126554743108]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503353,2019034,4127111300,41271004,경기도 안산시 상록구4,경기도 안산시 상록구 수암동(안산초교 부근),2,2,0,0,2,0,37.363927634254,126.877497742128,"{""type"":""Polygon"",""coordinates"":[[[126.88019268798,37.363927634254],[126.880140905351,37.3635097624011],[126.879987547442,37.3631079469346],[126.879738507711,37.3627376297746],[126.879403356615,37.3624130425663],[126.878994973823,37.3621466596797],[126.878529053257,37.3619487187255],[126.878023499982,37.3618268270281],[126.877497742128,37.3617856691939],[126.876971984274,37.3618268270281],[126.876466430999,37.3619487187255],[126.876000510433,37.3621466596797],[126.875592127641,37.3624130425663],[126.875256976545,37.3627376297746],[126.875007936814,37.3631079469346],[126.874854578905,37.3635097624011],[126.874802796276,37.363927634254],[126.874854578905,37.3643455037798],[126.875007936814,37.3647473126195],[126.875256976545,37.3651176198617],[126.875592127641,37.3654421953712],[126.876000510433,37.3657085665589],[126.876466430999,37.3659064975953],[126.876971984274,37.3660283826659],[126.877497742128,37.366069538173],[126.878023499982,37.3660283826659],[126.878529053257,37.3659064975953],[126.878994973823,37.3657085665589],[126.879403356615,37.3654421953712],[126.879738507711,37.3651176198617],[126.879987547442,37.3647473126195],[126.880140905351,37.3643455037798],[126.88019268798,37.363927634254]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503362,2019034,4127110400,41271003,경기도 안산시 상록구3,경기도 안산시 상록구 본오동(이호초교 부근),2,2,0,1,1,0,37.286628549969,126.861179324168,"{""type"":""Polygon"",""coordinates"":[[[126.86387427002,37.286628549969],[126.863822487391,37.2862102480331],[126.863669129482,37.2858080190131],[126.863420089751,37.2854373207213],[126.863084938655,37.2851123994494],[126.862676555863,37.2848457424046],[126.862210635297,37.284647597733],[126.861705082022,37.2845255805872],[126.861179324168,37.2844843803943],[126.860653566314,37.2845255805872],[126.860148013039,37.284647597733],[126.859682092473,37.2848457424046],[126.859273709681,37.2851123994494],[126.858938558585,37.2854373207213],[126.858689518854,37.2858080190131],[126.858536160945,37.2862102480331],[126.858484378316,37.286628549969],[126.858536160945,37.2870468495796],[126.858689518854,37.2874490719777],[126.858938558585,37.2878197603589],[126.859273709681,37.2881446699407],[126.859682092473,37.2884113152953],[126.860148013039,37.2886094500564],[126.860653566314,37.2887314605803],[126.861179324168,37.2887726584478],[126.861705082022,37.2887314605803],[126.862210635297,37.2886094500564],[126.862676555863,37.2884113152953],[126.863084938655,37.2881446699407],[126.863420089751,37.2878197603589],[126.863669129482,37.2874490719777],[126.863822487391,37.2870468495796],[126.86387427002,37.286628549969]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503348,2019034,4127110300,41271002,경기도 안산시 상록구2,경기도 안산시 상록구 사동(초당초교 부근),2,2,0,2,0,0,37.284734397875,126.851008602466,"{""type"":""Polygon"",""coordinates"":[[[126.853703548318,37.284734397875],[126.853651765689,37.2843160854098],[126.85349840778,37.2839138462652],[126.853249368049,37.2835431386426],[126.852914216953,37.283218209192],[126.852505834161,37.2829515454354],[126.852039913595,37.2827533957764],[126.85153436032,37.2826313755593],[126.851008602466,37.2825901743294],[126.850482844612,37.2826313755593],[126.849977291337,37.2827533957764],[126.849511370771,37.2829515454354],[126.849102987979,37.283218209192],[126.848767836883,37.2835431386426],[126.848518797152,37.2839138462652],[126.848365439243,37.2843160854098],[126.848313656614,37.284734397875],[126.848365439243,37.2851527080149],[126.848518797152,37.2855549405377],[126.848767836883,37.28592563825],[126.849102987979,37.2862505560106],[126.849511370771,37.2865172080773],[126.849977291337,37.286715347826],[126.850482844612,37.2868373614212],[126.851008602466,37.2868785603258],[126.85153436032,37.2868373614212],[126.852039913595,37.286715347826],[126.852505834161,37.2865172080773],[126.852914216953,37.2862505560106],[126.853249368049,37.28592563825],[126.85349840778,37.2855549405377],[126.853651765689,37.2851527080149],[126.853703548318,37.284734397875]]]}"
안산시,상록구,2018,스쿨존내어린이사고다발지,6503363,2019034,4127110400,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(본오초교 부근),3,3,0,0,3,0,37.294094485973,126.868859590199,"{""type"":""Polygon"",""coordinates"":[[[126.871554536051,37.294094485973],[126.871502753422,37.2936762255435],[126.871349395513,37.2932740364346],[126.871100355782,37.2929033749251],[126.870765204686,37.2925784858929],[126.870356821894,37.2923118553065],[126.869890901328,37.2921137302953],[126.869385348053,37.2919917252562],[126.868859590199,37.2919505291513],[126.868333832345,37.2919917252562],[126.86782827907,37.2921137302953],[126.867362358504,37.2923118553065],[126.866953975712,37.2925784858929],[126.866618824616,37.2929033749251],[126.866369784885,37.2932740364346],[126.866216426976,37.2936762255435],[126.866164644347,37.294094485973],[126.866216426976,37.294512744077],[126.866369784885,37.2949149265635],[126.866618824616,37.2952855781618],[126.866953975712,37.295610455503],[126.867362358504,37.2958770743983],[126.86782827907,37.2960751894984],[126.868333832345,37.2961971879151],[126.868859590199,37.2962383816945],[126.869385348053,37.2961971879151],[126.869890901328,37.2960751894984],[126.870356821894,37.2958770743983],[126.870765204686,37.295610455503],[126.871100355782,37.2952855781618],[126.871349395513,37.2949149265635],[126.871502753422,37.294512744077],[126.871554536051,37.294094485973]]]}"
안산시,단원구,2018,스쿨존내어린이사고다발지,6503364,2019034,4127310900,41273002,경기도 안산시 단원구2,경기도 안산시 단원구 선부동(안산화정초교 부근),1,1,1,0,0,0,37.345731130588,126.817302691167,"{""type"":""Polygon"",""coordinates"":[[[126.819997637019,37.345731130588],[126.81994585439,37.3453131574234],[126.819792496481,37.344911244539],[126.81954345675,37.3445408375984],[126.819208305654,37.344216171697],[126.818799922862,37.3439497242288],[126.818334002296,37.3437517352864],[126.817828449021,37.3436298140379],[126.817302691167,37.3435886462256],[126.816776933313,37.3436298140379],[126.816271380038,37.3437517352864],[126.815805459472,37.3439497242288],[126.81539707668,37.344216171697],[126.815061925584,37.3445408375984],[126.814812885853,37.344911244539],[126.814659527944,37.3453131574234],[126.814607745315,37.345731130588],[126.814659527944,37.3461491014259],[126.814812885853,37.3465510076846],[126.815061925584,37.3469214047091],[126.81539707668,37.3472460589137],[126.815805459472,37.3475124946851],[126.816271380038,37.3477104737114],[126.816776933313,37.3478323883342],[126.817302691167,37.3478735538198],[126.817828449021,37.3478323883342],[126.818334002296,37.3477104737114],[126.818799922862,37.3475124946851],[126.819208305654,37.3472460589137],[126.81954345675,37.3469214047091],[126.819792496481,37.3465510076846],[126.81994585439,37.3461491014259],[126.819997637019,37.345731130588]]]}"
안산시,단원구,2018,스쿨존내어린이사고다발지,6503375,2019034,4127310900,41273001,경기도 안산시 단원구1,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,0,37.344763109331,126.806785284414,"{""type"":""Polygon"",""coordinates"":[[[126.809480230266,37.344763109331],[126.809428447637,37.344345130778],[126.809275089728,37.3439432127122],[126.809026049997,37.3435728009965],[126.808690898901,37.3432481309097],[126.808282516109,37.3429816800067],[126.807816595543,37.3427836885119],[126.807311042268,37.3426617656917],[126.806785284414,37.3426205973487],[126.80625952656,37.3426617656917],[126.805753973285,37.3427836885119],[126.805288052719,37.3429816800067],[126.804879669927,37.3432481309097],[126.804544518831,37.3435728009965],[126.8042954791,37.3439432127122],[126.804142121191,37.344345130778],[126.804090338562,37.344763109331],[126.804142121191,37.3451810855573],[126.8042954791,37.3455829969975],[126.804544518831,37.3459533987972],[126.804879669927,37.3462780571873],[126.805288052719,37.3465444963936],[126.805753973285,37.3467424779724],[126.80625952656,37.346864394167],[126.806785284414,37.3469055601833],[126.807311042268,37.346864394167],[126.807816595543,37.3467424779724],[126.808282516109,37.3465444963936],[126.808690898901,37.3462780571873],[126.809026049997,37.3459533987972],[126.809275089728,37.3455829969975],[126.809428447637,37.3451810855573],[126.809480230266,37.344763109331]]]}"
남양주시,화도읍,2018,스쿨존내어린이사고다발지,6503384,2019034,4136025623,41360001,경기도 남양주시1,경기도 남양주시 화도읍(가곡초교 부근),2,2,0,1,1,0,37.683617867172,127.306171020377,"{""type"":""Polygon"",""coordinates"":[[[127.308865966229,37.683617867172],[127.3088141836,37.6832017821068],[127.308660825691,37.6828016847562],[127.30841178596,37.6824329510152],[127.308076634864,37.6821097516808],[127.307668252072,37.6818445077897],[127.307202331506,37.6816474131838],[127.306696778231,37.6815260426642],[127.306171020377,37.6814850608102],[127.305645262523,37.6815260426642],[127.305139709248,37.6816474131838],[127.304673788682,37.6818445077897],[127.30426540589,37.6821097516808],[127.303930254794,37.6824329510152],[127.303681215063,37.6828016847562],[127.303527857154,37.6832017821068],[127.303476074525,37.683617867172],[127.303527857154,37.6840339499031],[127.303681215063,37.6844340406071],[127.303930254794,37.6848027644007],[127.30426540589,37.6851259520014],[127.304673788682,37.6853911841587],[127.305139709248,37.6855882688172],[127.305645262523,37.6857096326902],[127.306171020377,37.6857506122102],[127.306696778231,37.6857096326902],[127.307202331506,37.6855882688172],[127.307668252072,37.6853911841587],[127.308076634864,37.6851259520014],[127.30841178596,37.6848027644007],[127.308660825691,37.6844340406071],[127.3088141836,37.6840339499031],[127.308865966229,37.683617867172]]]}"
광주시,오포읍,2018,스쿨존내어린이사고다발지,6503351,2019034,4161025022,41610001,경기도 광주시1,경기도 광주시 오포읍(광명초교 부근),3,3,0,1,2,0,37.359435520634,127.160781140638,"{""type"":""Polygon"",""coordinates"":[[[127.16347608649,37.359435520634],[127.163424303861,37.3590176237667],[127.163270945952,37.3586157842472],[127.163021906221,37.3582454449198],[127.162686755125,37.3579208382817],[127.162278372333,37.3576544394496],[127.161812451767,37.3574564866469],[127.161306898492,37.3573345876531],[127.160781140638,37.3572934273553],[127.160255382784,37.3573345876531],[127.159749829509,37.3574564866469],[127.159283908943,37.3576544394496],[127.158875526151,37.3579208382817],[127.158540375055,37.3582454449198],[127.158291335324,37.3586157842472],[127.158137977415,37.3590176237667],[127.158086194786,37.359435520634],[127.158137977415,37.3598534151743],[127.158291335324,37.3602552480673],[127.158540375055,37.3606255774772],[127.158875526151,37.360950172417],[127.159283908943,37.3612165595508],[127.159749829509,37.3614145024361],[127.160255382784,37.3615363948033],[127.160781140638,37.3615775527742],[127.161306898492,37.3615363948033],[127.161812451767,37.3614145024361],[127.162278372333,37.3612165595508],[127.162686755125,37.360950172417],[127.163021906221,37.3606255774772],[127.163270945952,37.3602552480673],[127.163424303861,37.3598534151743],[127.16347608649,37.359435520634]]]}"
