연번,기관명,도로명주소,_,GC_X,GC_Y,GC검색주소,GC결과주소,GC도로주소,GC우편번호,GC건물명,GC일치,GC주소검사,GC지역중심,GC사이트,GC비고
1,제주서부경찰서,제주시 애월읍 애조로 215,,126.4060645,33.4732647,제주시 애월읍 애조로 215,제주특별자치도 제주시 애월읍 애조로 215,,,,Y,Y,N,VWorld도로,
2,연동지구대,제주시 신대로 97,,126.496846,33.4884685,제주시 신대로 97,제주특별자치도 제주시 신대로 97,,,,Y,Y,N,VWorld도로,
3,노형지구대,제주시 광평동로 4,,126.472,33.4812,제주시 광평동로 4호,제주특별자치도 제주시 광평동로 12,,,,,Y,N,VWorld도로,"본번이 서로 다름 (4, 제주특별자치도 제주시 광평동로 12)"
4,하귀파출소,제주시 애월읍 하귀로 47,,126.4023,33.4805,제주시 애월읍 하귀로 47호,제주특별자치도 제주시 애월읍 하귀로 100,,,,,Y,N,VWorld도로,"본번이 서로 다름 (47, 제주특별자치도 제주시 애월읍 하귀로 100)"
5,애월파출소,제주시 애월읍 애월로 116-1,,126.3193797,33.46404149,제주시 애월읍 애월로 116-1,제주특별자치도 제주시 애월읍 애월로 116-1,,,,Y,Y,N,VWorld도로,
6,한림파출소,제주시 한림읍 한림로 651,,126.2625258,33.41438292,제주시 한림읍 한림로 651,제주특별자치도 제주시 한림읍 한림로 651,,,,Y,Y,N,VWorld도로,
7,한경파출소,제주시 한경면 두신로 133,,126.1854816,33.35453473,제주시 한경면 두신로 133,제주특별자치도 제주시 한경면 두신로 133,,,,Y,Y,N,VWorld도로,
8,제주동부경찰서,제주시 동광로 66,,126.5358263,33.50353524,제주시 동광로 66,제주특별자치도 제주시 동광로 66,,,,Y,Y,N,VWorld도로,
9,남문지구대,제주시 연신로 6,,126.5437645,33.50003526,제주시 연신로 6,제주특별자치도 제주시 연신로 6,,,,Y,Y,N,VWorld도로,
10,중앙지구대,제주시 북성로 3,,126.5239629,33.51546655,제주시 북성로 3,제주특별자치도 제주시 북성로 3 중앙지구대,,,,Y,Y,N,VWorld도로,
11,오라지구대,제주시 서광로 182,,126.5158127,33.49955586,제주시 서광로 182,제주특별자치도 제주시 서광로 182,,,,Y,Y,N,VWorld도로,
12,삼양파출소,제주시 일주동로 397,,126.587429,33.5217213,제주시 일주동로 397,제주특별자치도 제주시 일주동로 397 삼양파출소,,,,Y,Y,N,VWorld도로,
13,조천파출소,제주시 조천읍 신북로 365,,126.64,33.5386,제주시 조천읍 신북로 365,,,,,,Y,N,VWorld도로,검색 결과 없음
14,함덕파출소,제주시 조천읍 신북로 515,,126.6650642,33.54210145,제주시 조천읍 신북로 515,제주특별자치도 제주시 조천읍 신북로 515,,,,Y,Y,N,VWorld도로,
15,구좌파출소,제주시 구좌읍 구좌로 45,,126.8564585,33.52344896,제주시 구좌읍 구좌로 45,제주특별자치도 제주시 구좌읍 구좌로 45,,,,Y,Y,N,VWorld도로,
16,우도파출소,제주시 우도면 우도로 21,,126.9526111,33.49473222,제주시 우도면 우도로 21,제주특별자치도 제주시 우도면 우도로 21,,,,Y,Y,N,VWorld도로,
17,추자파출소,제주시 추자면 대서3길 2,,126.2960129,33.96396649,제주시 추자면 대서3길 2,제주특별자치도 제주시 추자면 대서3길 2,,,,Y,Y,N,VWorld도로,
18,제주서귀포경찰서,서귀포시 신중로27,,126.5089368,33.25635351,서귀포시 신중로27,제주특별자치도 서귀포시 신중로 27 서귀포경찰서 별관,,,,Y,Y,N,VWorld도로,
19,중동지구대,서귀포시 태평로 552,,126.5758268,33.25270268,서귀포시 태평로 552,제주특별자치도 서귀포시 태평로 552 파출소 중동지구대,,,,Y,Y,N,VWorld도로,
20,인덕파출소,서귀포시 안덕면 화순로 116,,126.3343851,33.24671728,서귀포시 안덕면 화순로 116,제주특별자치도 서귀포시 안덕면 화순로 116,,,,Y,Y,N,VWorld도로,
21,대정파출소,서귀포시 대정읍 상모로 310,,126.2560418,33.22307364,서귀포시 대정읍 상모로 310,제주특별자치도 서귀포시 대정읍 상모로 310,,,,Y,Y,N,VWorld도로,
22,남원파출소,서귀포시 남원읍 태위로 702,,126.7216202,33.27955397,서귀포시 남원읍 태위로 702,제주특별자치도 서귀포시 남원읍 태위로 702,,,,Y,Y,N,VWorld도로,
23,표선파출소,서귀포시 표선면 표선동서로 217,,126.8312745,33.32359755,서귀포시 표선면 표선동서로 217,제주특별자치도 서귀포시 표선면 표선동서로 217,,,,Y,Y,N,VWorld도로,
24,성산파출소,서귀포시 성산읍 성산중앙로 53,,126.9343193,33.46439079,서귀포시 성산읍 성산중앙로 53,제주특별자치도 서귀포시 성산읍 성산중앙로 53 성산파출소,,,,Y,Y,N,VWorld도로,
25,중문파출소,서귀포시 천제연로 165,,126.4225526,33.25240097,서귀포시 천제연로 165,제주특별자치도 서귀포시 천제연로 165,,,,Y,Y,N,VWorld도로,
26,서부파출소,서귀포시 신서귀로 51번길 18,,126.5096114,33.25441869,서귀포시 신서귀로 51번길 18,제주특별자치도 서귀포시 신서귀로51번길 18 서귀포경찰서중서지구대,,,,Y,Y,N,VWorld도로,
27,효돈파출소,서귀포시 효돈로 171-1,,126.617137,33.26385198,서귀포시 효돈로 171-1,제주특별자치도 서귀포시 효돈로 171-1 효돈치안센타,,,,Y,Y,N,VWorld도로,
