No.,시설명,설치장소,주소,X,Y
1,제주보육원 놀이시설,아동복지시설,제주특별자치도 제주시 도근내길 42,126.4356579,33.49149278
2,서귀포 향토 오일시장 실내 놀이터(소꿉놀이 키즈카페),대규모점포,제주특별자치도 서귀포시 토평서로11번길 142 ,126.5730641,33.26710477
3,도두해수파크 놀이터,목욕장업소,제주특별자치도 제주시 서해안로 236,126.4713759,33.50833936
4,밤비니어학원,학원,제주특별자치도 제주시 고사마루길 71 ,126.4730982,33.47471777
5,한국외국어대학교키즈클럽외대어학원 놀이터,학원,제주특별자치도 제주시 월산북길 64-8 ,126.4613427,33.47418913
6,흙한우 명품관 실내 어린이놀이시설,식품접객업소,제주특별자치도 서귀포시 일주동로 8421 ,126.5884797,33.2573024
7,제주돌담촌,식품접객업소,제주 제주시 도남동134번지,126.5289768,33.48849482
8,네버랜드에너키즈,식품접객업소,제주특별자치도 제주시 신설로2길 13,126.5424254,33.49485661
9,어린왕자,식품접객업소,제주특별자치도 제주시 과원북4길 19,126.4842583,33.48130144
10,벨롱벨롱 실내어린이놀이시설,놀이제공영업소,제주특별자치도 제주시 우정로 91 ,126.4311515,33.48460204
11,멜리오에코피아,놀이제공영업소,제주특별자치도 제주시 애월읍 평화로 2157,126.3933238,33.41199768
12,에코피아테마파크 놀이터,놀이제공영업소,제주특별자치도 제주시 애월읍 평화로 2157,126.3933238,33.41199768
13,동마키즈카페 실내놀이시설,놀이제공영업소,제주특별자치도 제주시 달마루길 18 ,126.474267,33.48951772
14,노리파크화북삼양점,놀이제공영업소,제주특별자치도 제주시 일주동로 224 ,126.5694989,33.51872901
15,어린이나라방방 동홍휴게점,놀이제공영업소,제주특별자치도 서귀포시 동홍중앙로52번길 14-1 ,126.5736487,33.25510624
16,놀멍뛰멍키즈카페,놀이제공영업소,제주특별자치도 제주시 한림읍 한림상로 196,126.2692867,33.41574403
17,키즈팡팡 제주연동점,놀이제공영업소,제주특별자치도 제주시 과원북4길 61 ,126.488229,33.48119177
18,점프노리 아라점 실내놀이기구,놀이제공영업소,제주특별자치도 제주시 아란7길 26,126.5427589,33.47452709
19,블럭아놀자 놀이시설,놀이제공영업소,제주특별자치도 서귀포시 남원광지로 18,126.7124976,33.27896821
20,노루생태관찰원 어린이놀이터,도시공원,제주특별자치도 제주시 명림로 520 ,126.6256939,33.44483825
21,절물자연휴양림 어린이놀이터,도시공원,제주특별자치도 제주시 명림로 584,126.6227787,33.43019644
22,서홍 생태놀이터 아이뜨락,도시공원,제주 서귀포시 서홍동1614-8,126.5535976,33.26446635
23,117호 어린이공원,도시공원,제주특별자치도 제주시 아란12길 25-7,126.545228,33.46938817
24,119호 어린이공원,도시공원,제주특별자치도 제주시 인다8길 38,126.5488721,33.47610938
25,명신마을소공원놀이터,도시공원,제주특별자치도 제주시 명신1길 32-1,126.4997895,33.50075849
26,아주호텔제주 어린이 놀이터,도시공원,제주특별자치도 서귀포시 중문관광로72번길 114,126.4056099,33.2453786
27,노형택지2어린이공원,도시공원,제주특별자치도 제주시 노형7길 6,126.4763636,33.48088949
28,노형택지1어린이공원,도시공원,제주특별자치도 제주시 노형11길 25,126.4777078,33.48278852
29,방일리공원,도시공원,제주특별자치도 제주시 노형2길 51-1,126.4759163,33.47836316
30,121호어린이공원,도시공원,제주특별자치도 제주시 인다14길 12-7,126.5469203,33.47080088
31,114호어린이공원,도시공원,제주특별자치도 제주시 아란9길 14,126.5441452,33.47277414
32,한마음근린공원,도시공원,제주특별자치도 제주시 신설로5길 5-23,126.5453391,33.49532721
33,바다어린이공원,도시공원,서귀포시 강정동 199-1,126.5039281,33.25313299
34,숲속어린이공원,도시공원,제주 서귀포시 강정동191-1,126.5037669,33.25127501
35,송이마당어린이공원,도시공원,제주특별자치도 서귀포시 서호남로 92-15,126.5236821,33.24952305
36,오름어린이공원,도시공원,제주특별자치도 서귀포시 서호로 7-24,126.5225979,33.25352205
37,바당어린이공원,도시공원,제주특별자치도 서귀포시 서호남로 92-27,126.5065393,33.23160376
38,제주영어교육도시 3호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
39,제주영어교육도시 2호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
40,제주영어교육도시 1호 어린이공원 놀이터,도시공원,제주특별자치도 서귀포시 대정읍 신화역사로 210,126.1958231,33.1630952
41,칠십리 시공원,도시공원,제주특별자치도 서귀포시 남성중로 114-1,126.5567285,33.24393872
42,월라봉공원,도시공원,제주특별자치도 서귀포시 월라봉로 76-40,126.6048892,33.27129505
43,사계어린이공원,도시공원,제주특별자치도 서귀포시 안덕면 사계신항로 3-8,126.3215616,33.24959889
44,삼화제5근린공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 화삼북로 136,126.5881422,33.51636757
45,109호 어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 화삼로 104,126.5830551,33.5133121
46,108호 어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 연삼로 874,126.5792202,33.51175733
47,107호어린이공원,도시공원,제주 제주시 도련1동제주특별자치도 제주시 건주로 45,126.5809471,33.51520728
48,하귀2호 어린이공원,도시공원,제주특별자치도 제주시 애월읍 하광로 48-3,126.414043,33.48157378
49,99호 어린이공원,도시공원,제주 제주시 이도2동제주특별자치도 제주시 구남로2길 27,126.5343945,33.48749663
50,100호 어린이공원,도시공원,제주 제주시 이도2동제주특별자치도 제주시 구남로 31,126.5328725,33.49038495
51,48호어린이공원,도시공원,제주 제주시 노형동제주특별자치도 제주시 다랑곶2길 45,126.475899,33.49010169
52,도남근린공원,도시공원,제주 제주시 도남동제주특별자치도 제주시 독짓골8길 23,126.5325946,33.49202478
53,이도근린공원,도시공원,제주특별자치도 제주시 이도공원동길 6,126.5441779,33.49718018
54,106호어린이공원,도시공원,제주특별자치도 제주시 첨단로7길 23,126.5740595,33.44950299
55,문부공원,도시공원,제주특별자치도 서귀포시 일주동로 8593,126.570339,33.25382348
56,문화공원,도시공원,제주특별자치도 서귀포시 김정문화로 32,126.5079874,33.25068779
