No,유치원명,최종주소,X,Y
1,고산초등학교병설유치원,제주특별자치도 제주시 한경면 고산로1길 16,126.1772074,33.30417212
2,광령초등학교병설유치원,제주특별자치도 제주시 애월읍 광성로 276,126.4368218,33.45977147
3,광양초등학교병설유치원,제주특별자치도 제주시 돈내길 5,126.529784,33.50231918
4,구엄초등학교병설유치원,제주특별자치도 제주시 애월읍 일주서로 6768,126.374833,33.47321301
5,구좌중앙초등학교병설유치원,제주특별자치도 제주시 구좌읍 월정7길 1,126.7980338,33.55145029
6,귀덕초등학교병설유치원,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.2933931,33.44180459
7,김녕초등학교병설유치원,제주특별자치도 제주시 구좌읍 김녕로 117,126.7508488,33.55523103
8,납읍초등학교병설유치원,제주특별자치도 제주시 애월읍 납읍로2길 47,126.3308347,33.43533243
9,노형초등학교병설유치원,제주특별자치도 제주시 노형로 383,126.4761791,33.48471142
10,대흘초등학교병설유치원,제주특별자치도 제주시 조천읍 중산간동로 677,126.6579675,33.49940642
11,도남초등학교병설유치원,제주특별자치도 제주시 도남로8길 22,126.5257325,33.49344108
12,도련초등학교병설유치원,제주특별자치도 제주시 화삼로 104,126.5830551,33.5133121
13,도리초등학교병설유치원,제주특별자치도 제주시 도리로 129,126.4648519,33.50170263
14,동화초등학교병설유치원,제주특별자치도 제주시 동화로1길 44,126.5758382,33.51884118
15,물메초등학교병설유치원,제주특별자치도 제주시 애월읍 엄수로 202-4,126.3913224,33.46591153
16,봉개초등학교병설유치원,제주특별자치도 제주시 번영로 484,126.5936357,33.49033002
17,북촌초등학교병설유치원,제주특별자치도 제주시 조천읍 일주동로 1481,126.6918225,33.54762269
18,삼성초등학교병설유치원,제주특별자치도 제주시 서광로29길 35,126.525508,33.50297896
19,삼양초등학교병설유치원,제주특별자치도 제주시 지석14길 7,126.5862827,33.52031928
20,삼화초등학교병설유치원,제주특별자치도 제주시 화삼북로2길 27,126.5769768,33.51492321
21,세화초등학교병설유치원,제주특별자치도 제주시 구좌읍 구좌로 65,126.8587269,33.52235142
22,송당초등학교병설유치원,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,126.781183,33.47089121
23,수원초등학교병설유치원,제주특별자치도 제주시 한림읍 한림로 822,126.2701726,33.42546826
24,신광초등학교병설유치원,제주특별자치도 제주시 성신로 25,126.4844333,33.49166135
25,신촌초등학교병설유치원,제주특별자치도 제주시 조천읍 신북로 51,126.6193003,33.53392261
26,아라초등학교병설유치원,제주특별자치도 제주시 중앙로 518,126.5437561,33.47719047
27,애월초등학교병설유치원,제주특별자치도 제주시 애월읍 애월로 139-10,126.321665,33.46524181
28,어도초등학교병설유치원,제주특별자치도 제주시 애월읍 봉성로 76,126.313225,33.41986384
29,영평초등학교병설유치원,제주특별자치도 제주시 아봉로 225,126.5670095,33.47852763
30,오라초등학교병설유치원,제주특별자치도 제주시 연사길 48,126.5135068,33.4899133
31,외도초등학교병설유치원,제주특별자치도 제주시 일주서로 7368,126.4344316,33.49307394
32,우도초등학교병설유치원,제주특별자치도 제주시 우도면 우도로 156-11,126.9553026,33.5055213
33,월랑초등학교병설유치원,제주특별자치도 제주시 남녕로 63,126.4785101,33.49249293
34,이도초등학교병설유치원,제주특별자치도 제주시 구남동2길 58,126.532089,33.48801983
35,인화초등학교병설유치원,제주특별자치도 제주시 신산로15길 35,126.5378925,33.50742578
36,일도초등학교병설유치원,제주특별자치도 제주시 삼성로9길 27,126.5293678,33.5095663
37,장전초등학교병설유치원,제주특별자치도 제주시 애월읍 장전로 122,126.3904901,33.44966094
38,재릉초등학교병설유치원,제주특별자치도 제주시 한림읍 한림로 288-18,126.2382299,33.38850017
39,저청초등학교병설유치원,제주특별자치도 제주시 한경면 중산간서로 3591,126.2516178,33.32637258
40,제주남초등학교병설유치원,제주특별자치도 제주시 남성로 149,126.5211228,33.50973286
41,제주동초등학교병설유치원,제주특별자치도 제주시 동문로 65,126.5335091,33.51398178
42,제주북초등학교병설유치원,제주특별자치도 제주시 중앙로8길 18,126.5223954,33.51509319
43,제주서초등학교병설유치원,제주특별자치도 제주시 성화로6길 51,126.5104557,33.51187275
44,제주중앙초등학교병설유치원,제주특별자치도 제주시 서사로18길 40,126.5157275,33.50262534
45,조천초등학교병설유치원,제주특별자치도 제주시 조천읍 신북로 195,126.6338276,33.53540027
46,종달초등학교병설유치원,제주특별자치도 제주시 구좌읍 종달로7길 5,126.897138,33.4924122
47,추자초등학교병설신양분교장유치원,제주특별자치도 제주시 추자면 추자로 553-10,126.3256565,33.94487405
48,추자초등학교병설유치원,제주특별자치도 제주시 추자면 대서3길 10,126.2955692,33.96384376
49,평대초등학교병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2979,126.840447,33.52923497
50,하귀일초등학교병설유치원,제주특별자치도 제주시 애월읍 하귀9길 42,126.4152987,33.48363534
51,하귀초등학교병설유치원,제주특별자치도 제주시 애월읍 하귀로 44,126.401933,33.47935187
