No,학교명,최종 주소,X,Y
1,고산초등학교,제주특별자치도 제주시 한경면 고산로1길 16,126.1772074,33.30417212
2,곽금초등학교,제주특별자치도 제주시 애월읍 일주서로 6000,126.3071392,33.44688622
3,광령초등학교,제주특별자치도 제주시 애월읍 광성로 276,126.4368218,33.45977147
4,광양초등학교,제주특별자치도 제주시 돈내길 5,126.529784,33.50231918
5,구엄초등학교,제주특별자치도 제주시 애월읍 일주서로 6768,126.374833,33.47321301
6,구좌중앙초등학교,제주특별자치도 제주시 구좌읍 월정7길 1,126.7980338,33.55145029
7,귀덕초등학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,126.2933931,33.44180459
8,금악초등학교,제주특별자치도 제주시 한림읍 금악남2길 1,126.2956986,33.35636579
9,김녕초등학교,제주특별자치도 제주시 구좌읍 김녕로 117,126.7508488,33.55523103
10,남광초등학교,제주특별자치도 제주시 남광로 28,126.539594,33.49307895
11,납읍초등학교,제주특별자치도 제주시 애월읍 납읍로2길 47,126.3308347,33.43533243
12,노형초등학교,제주특별자치도 제주시 노형로 383,126.4761791,33.48471142
13,대흘초등학교,제주특별자치도 제주시 조천읍 중산간동로 677,126.6579675,33.49940642
14,도남초등학교,제주특별자치도 제주시 도남로8길 22,126.5257325,33.49344108
15,도련초등학교,제주특별자치도 제주시 화삼로 104,126.5830551,33.5133121
16,도리초등학교,제주특별자치도 제주시 도리로 129,126.4648519,33.50170263
17,도평초등학교,제주특별자치도 제주시 도평길 17,126.447263,33.48051903
18,동광초등학교,제주특별자치도 제주시 태성로 6,126.5474805,33.5014839
19,동화초등학교,제주특별자치도 제주시 동화로1길 44,126.5758382,33.51884118
20,물메초등학교,제주특별자치도 제주시 애월읍 엄수로 202-4,126.3913224,33.46591153
21,백록초등학교,제주특별자치도 제주시 정존5길 62,126.4703769,33.48694058
22,봉개초등학교,제주특별자치도 제주시 번영로 484,126.5936357,33.49033002
23,북촌초등학교,제주특별자치도 제주시 조천읍 일주동로 1481,126.6918225,33.54762269
24,삼성초등학교,제주특별자치도 제주시 서광로29길 35,126.525508,33.50297896
