상표,셀프여부,고급휘발유,휘발유,경유,실내등유
SK에너지,Y,,1548,1345,
SK에너지,Y,1765,1565,1365,990
현대오일뱅크,Y,1780,1566,1361,
GS칼텍스,Y,,1568,1365,
현대오일뱅크,N,1805,1586,1384,1060
SOIL,N,,1590,1390,
SOIL,Y,,1595,1380,
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
알뜰(ex),N,,1664,1469,
SK에너지,Y,,1693,1498,
SK에너지,N,,1694,1504,1300
GS칼텍스,N,,1695,1495,
SOIL,Y,,1695,1495,
SK에너지,Y,,1697,1497,
SK에너지,Y,,1698,1498,
SOIL,Y,,1698,1498,
NHOIL,N,,1699,1529,1100
GS칼텍스,N,1859,1709,1509,
GS칼텍스,N,,1716,1526,1199
현대오일뱅크,N,1878,1719,1539,1250
GS칼텍스,N,1855,1719,1529,1100
GS칼텍스,Y,1855,1719,1529,1100
GS칼텍스,N,1898,1720,1530,
GS칼텍스,N,1898,1720,1530,1096
현대오일뱅크,N,1858,1720,1530,
SOIL,Y,1878,1722,1532,
현대오일뱅크,N,,1723,1533,1140
GS칼텍스,N,1898,1725,1535,
GS칼텍스,N,1939,1729,1538,1100
현대오일뱅크,N,1867,1737,1537,
SK에너지,N,1868,1738,1538,998
GS칼텍스,N,1898,1738,1548,
GS칼텍스,N,1898,1738,1538,
SK에너지,Y,1934,1743,1559,
GS칼텍스,N,1923,1753,1544,1240
GS칼텍스,N,1885,1768,1548,1060
GS칼텍스,N,1885,1768,1548,
SK에너지,N,1998,1783,1583,
SK에너지,N,,1794,1594,
GS칼텍스,N,1897,1797,1587,
SK에너지,N,1999,1799,1657,1135
SK에너지,N,1999,1799,1657,
SK에너지,N,2291,2076,1939,1399
SOIL,N,2258,2098,1858,1095
SK에너지,N,2248,2098,1898,
SK에너지,N,2378,2142,1967,
SK에너지,N,2329,2187,1984,
SK에너지,N,2436,2296,2146,
현대오일뱅크,N,,1687,1495,
GS칼텍스,N,1958,1707,1517,1140
GS칼텍스,Y,,1708,1498,
SK에너지,N,,1716,1514,1097
SOIL,Y,,1718,1518,
SOIL,N,,1718,1518,1100
SK에너지,Y,,1728,1538,990
SK에너지,Y,,1728,1548,1150
SK에너지,Y,1918,1728,1538,
GS칼텍스,N,1967,1728,1538,1200
SK에너지,Y,1928,1738,1548,1179
GS칼텍스,Y,,1748,1558,
현대오일뱅크,N,,1748,1558,1190
GS칼텍스,N,1989,1789,1589,1180
SK에너지,N,1964,1799,1659,
SK에너지,Y,1966,1823,1633,
현대오일뱅크,N,,1837,1638,1300
SK에너지,N,2363,2128,1907,1417
SOIL,Y,,1639,1445,
GS칼텍스,Y,,1646,1456,1000
SOIL,N,,1669,1449,
SK에너지,Y,,1676,1476,
SK에너지,N,,1677,1477,
SK에너지,Y,1898,1678,1498,
SK에너지,Y,,1678,1478,1150
현대오일뱅크,Y,1849,1679,1489,
SOIL,N,,1679,1479,
현대오일뱅크,Y,,1679,1489,
GS칼텍스,Y,1890,1683,1484,
GS칼텍스,N,,1687,1487,1200
SK에너지,Y,,1738,1538,
SOIL,Y,,1657,1467,
SOIL,N,,1665,1469,950
GS칼텍스,Y,,1666,1475,
SOIL,N,,1667,1467,
SK에너지,N,,1668,1468,
SK에너지,Y,,1676,1486,
알뜰주유소,N,,1687,1497,1050
현대오일뱅크,Y,,1687,1497,1100
현대오일뱅크,N,,1687,1497,1150
현대오일뱅크,Y,,1699,1519,
GS칼텍스,N,1856,1716,1516,
SOIL,N,,1717,1527,
GS칼텍스,N,,1727,1527,
SK에너지,N,,1728,1528,1250
SOIL,N,,1728,1498,
SOIL,N,,1745,1545,1100
SK에너지,Y,,1758,1558,1180
SK에너지,N,,1789,1597,
SK에너지,N,,1828,1628,1210
SOIL,N,,1878,1578,1200
GS칼텍스,N,,2186,1986,1376
GS칼텍스,N,,1654,1464,1150
SOIL,N,,1655,1455,950
GS칼텍스,Y,,1655,1465,
알뜰주유소,N,,1655,1465,
GS칼텍스,Y,1799,1667,1590,1100
현대오일뱅크,Y,,1673,1483,1150
현대오일뱅크,N,,1675,1485,
SOIL,Y,,1675,1485,1200
SK에너지,N,,1678,1488,1100
SOIL,Y,,1695,1497,
SK에너지,N,,1750,1560,1267
SK에너지,N,,1758,1568,
SK에너지,N,,1799,1672,
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
SK에너지,Y,1837,1597,1395,
SK에너지,Y,1835,1598,1393,
SK에너지,Y,1948,1598,1388,
SK에너지,N,1790,1598,1380,
GS칼텍스,N,1880,1598,1398,1152
SK에너지,Y,,1608,1397,
GS칼텍스,N,1898,1609,1412,1150
SK에너지,Y,1787,1619,1388,
GS칼텍스,N,1797,1632,1398,
GS칼텍스,N,1833,1633,1399,850
GS칼텍스,Y,1795,1639,1443,
SK에너지,N,1885,1685,1485,1050
SOIL,Y,,1688,1438,
SK에너지,Y,1998,1688,1438,1119
SK에너지,N,,1728,1528,
현대오일뱅크,N,1987,1757,1543,
SK에너지,N,1990,1780,1580,
현대오일뱅크,N,1998,1785,1584,
GS칼텍스,N,2061,1823,1653,1024
SK에너지,N,2079,1859,1639,1399
GS칼텍스,N,2027,1863,1635,
SK에너지,N,1998,1865,1651,1198
GS칼텍스,N,2088,1883,1672,1203
현대오일뱅크,N,1998,1890,1598,
GS칼텍스,N,2097,1897,1697,
GS칼텍스,N,2189,1937,1738,
SOIL,N,2098,1953,1733,
GS칼텍스,N,2165,1976,1754,
GS칼텍스,N,2179,1998,1798,
GS칼텍스,N,2285,1999,1885,1207
SK에너지,N,2149,1999,1799,
SK에너지,N,2126,2006,1809,
SK에너지,N,2278,2028,1897,
SOIL,N,2263,2055,1867,
SK에너지,N,2268,2059,1869,1206
SK에너지,N,2306,2105,1908,
SK에너지,N,2305,2106,1909,1189
SK에너지,N,2293,2107,1909,1232
SK에너지,N,2420,2120,1920,1330
